N Rounds;Total Clients;Model;Dataset;Optimizer;Learning Rate;Batch Size;Epochs;Client 1 ID;Client 1 CPU;Client 1 RAM;Client 1 Data Distribution;Client 1 Data Persistence;Client 1 Alpha Dirichlet;Client 1 JSD;Client 1 CPU Usage Avg;Client 1 RAM Usage Avg;Client 2 ID;Client 2 CPU;Client 2 RAM;Client 2 Data Distribution;Client 2 Data Persistence;Client 2 Alpha Dirichlet;Client 2 JSD;Client 2 CPU Usage Avg;Client 2 RAM Usage Avg;Round 25%;Val F1 25%;Training Time Avg 25%;Communication Time Avg 25%;Total Round Time 25%;Round 50%;Val F1 50%;Training Time Avg 50%;Communication Time Avg 50%;Total Round Time 50%;Round 75%;Val F1 75%;Training Time Avg 75%;Communication Time Avg 75%;Total Round Time 75%;Avg Training Time;Avg Communication Time;Avg Total Round Time;Final Train Loss;Final Train Accuracy;Final Train F1;Final Val Loss;Final Val Accuracy;Final Val F1 (Last Round);Final Val F1 (Best);Final Agent Time;AP List (client_selector,message_compressor,heterogeneous_data_handler);Client Selector Strategy;Client Selector Criteria;Client Selector Value;Message Compressor Alg;HDH Batch Size;HDH Beta 1;HDH Beta 2;HDH Discriminator;HDH Epochs;HDH Generator;HDH Learning Rate;HDH Latent Dim;HDH Optimizer;Client 3 ID;Client 3 CPU;Client 3 RAM;Client 3 Data Distribution;Client 3 Data Persistence;Client 3 Alpha Dirichlet;Client 3 JSD;Client 3 CPU Usage Avg;Client 3 RAM Usage Avg;Client 4 ID;Client 4 CPU;Client 4 RAM;Client 4 Data Distribution;Client 4 Data Persistence;Client 4 Alpha Dirichlet;Client 4 JSD;Client 4 CPU Usage Avg;Client 4 RAM Usage Avg;Client 5 ID;Client 5 CPU;Client 5 RAM;Client 5 Data Distribution;Client 5 Data Persistence;Client 5 Alpha Dirichlet;Client 5 JSD;Client 5 CPU Usage Avg;Client 5 RAM Usage Avg
1;5;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;109,0;4,0;Client 2;2;2;IID;Same Data;1;NaN;109,0;4,0;1;0,0471;0,044;0,038;4,24;1;0,0471;0,044;0,038;4,24;1;0,0471;0,044;0,038;4,24;0,044;0,038;4,24;2,3;0,13;0,0499;2,3;0,1067;0,0471;0,0471;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Client 3;2,0;2,0;IID;Same Data;1,0;NaN;109,0;4,0;Client 4;2,0;2,0;IID;Same Data;1,0;NaN;109,0;3,0;Client 5;2,0;2,0;IID;Same Data;1,0;NaN;109,0;4,0
1;5;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;110,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;111,0;5,0;1;0,0209;0,034;0,03;3,91;1;0,0209;0,034;0,03;3,91;1;0,0209;0,034;0,03;3,91;0,034;0,03;3,91;2,3;0,0883;0,0162;2,3;0,1167;0,0209;0,0209;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Client 3;2,0;2,0;IID;Same Data;1,0;NaN;110,0;5,0;Client 4;2,0;2,0;IID;Same Data;1,0;NaN;111,0;5,0;Client 5;2,0;2,0;IID;Same Data;1,0;NaN;113,0;5,0
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;113,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;114,0;5,0;1;0,0247;0,025;0,01;3,43;1;0,0247;0,025;0,01;3,43;1;0,0247;0,025;0,01;3,43;0,025;0,01;3,43;2,29;0,1583;0,0273;2,29;0,14;0,0247;0,0247;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;114,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;113,0;5,0;1;0,016;0,02;0,01;3,42;1;0,016;0,02;0,01;3,42;1;0,016;0,02;0,01;3,42;0,02;0,01;3,42;2,3;0,0833;0,0159;2,3;0,0833;0,016;0,016;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;113,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;114,0;5,0;1;0,034;0,025;0,01;3,63;1;0,034;0,025;0,01;3,63;1;0,034;0,025;0,01;3,63;0,025;0,01;3,63;2,31;0,1667;0,0417;2,31;0,1233;0,034;0,034;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;113,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;113,0;5,0;1;0,0137;0,025;0,01;3,43;1;0,0137;0,025;0,01;3,43;1;0,0137;0,025;0,01;3,43;0,025;0,01;3,43;2,31;0,075;0,0137;2,31;0,0733;0,0137;0,0137;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;113,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;114,0;5,0;1;0,0212;0,02;0,01;3,42;1;0,0212;0,02;0,01;3,42;1;0,0212;0,02;0,01;3,42;0,02;0,01;3,42;2,3;0,0917;0,0242;2,31;0,08;0,0212;0,0212;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;114,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;113,0;5,0;1;0,0318;0,025;0,01;3,42;1;0,0318;0,025;0,01;3,42;1;0,0318;0,025;0,01;3,42;0,025;0,01;3,42;2,3;0,0833;0,0265;2,31;0,1;0,0318;0,0318;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;113,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;114,0;5,0;1;0,0189;0,025;0,01;3,52;1;0,0189;0,025;0,01;3,52;1;0,0189;0,025;0,01;3,52;0,025;0,01;3,52;2,31;0,0833;0,0154;2,3;0,0933;0,0189;0,0189;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;114,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;113,0;5,0;1;0,0289;0,025;0,01;3,53;1;0,0289;0,025;0,01;3,53;1;0,0289;0,025;0,01;3,53;0,025;0,01;3,53;2,3;0,1583;0,0459;2,31;0,1033;0,0289;0,0289;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;2;CNN 16k;FashionMNIST;Adam;0,001;64;1;Client 1;2;2;IID;Same Data;1;NaN;113,0;5,0;Client 2;2;2;IID;Same Data;1;NaN;113,0;5,0;1;0,0204;0,02;0,01;3,44;1;0,0204;0,02;0,01;3,44;1;0,0204;0,02;0,01;3,44;0,02;0,01;3,44;2,31;0,1083;0,0193;2,31;0,1133;0,0204;0,0204;0,0;{OFF,OFF,OFF};NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
