Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,41.94,0.0,0.0,14.21,,5,315,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,19.08,0.0,0.0,10.12,,5,198,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,14.66,0.0,0.0,43.78,,5,159,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,17.61,0.0,0.0,47.65,,3,103,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,61.99,0.0,0.0,30.42,94.84,3,277,17,CNN 16k,IID,FashionMNIST,0.34,0.8951,0.8003,0.3126,1.17,0.7324,0.7004,0.7756,"{OFF,OFF,OFF,OFF,OFF,OFF}",5.82
Client 1,2,17.29,0.05,160.7,8.9,,5,274,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,9.22,0.05,134.87,3.48,,5,280,28,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,33.71,0.0,118.3,6.98,195.01,5,300,27,CNN 16k,IID,FashionMNIST,0.66,0.7017,0.7008,1.3639,1.21,0.7852,0.7509,0.6579,"{ON,OFF,OFF,OFF,OFF,ON}",5.91
Client 1,3,51.98,0.32,0.0,14.63,,5,372,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,29.39,0.15,0.0,11.46,,5,303,26,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,42.65,0.12,0.0,57.11,103.9,5,202,26,CNN 16k,IID,FashionMNIST,0.2,0.9266,0.8594,0.2312,0.81,0.7546,0.7357,0.7571,"{ON,OFF,OFF,OFF,OFF,ON}",6.28
Client 1,4,56.01,0.08,0.0,12.61,,5,364,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,34.81,0.3,0.0,12.49,,5,308,26,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,46.55,0.07,0.0,30.34,82.16,5,288,26,CNN 16k,IID,FashionMNIST,0.27,0.9032,0.8806,0.3353,0.82,0.7877,0.7625,0.6402,"{ON,OFF,OFF,OFF,OFF,ON}",5.66
Client 1,5,68.28,0.27,0.0,14.18,,5,365,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,44.24,0.18,0.0,16.48,,5,322,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,58.36,0.03,0.0,55.8,118.77,5,246,26,CNN 16k,IID,FashionMNIST,0.15,0.9441,0.9026,0.2047,1.0,0.7943,0.7655,0.6379,"{ON,OFF,OFF,OFF,OFF,ON}",6.37
Client 1,6,106.65,0.11,0.0,13.88,,5,368,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,76.31,0.23,0.0,20.17,,5,337,26,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,87.32,0.02,0.0,46.54,138.84,5,300,27,CNN 16k,IID,FashionMNIST,0.22,0.919,0.8906,0.2392,0.76,0.7984,0.7698,0.6082,"{ON,OFF,OFF,OFF,OFF,ON}",6.65
Client 1,7,79.01,0.11,0.0,15.14,,5,364,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,65.73,0.14,0.0,14.74,,5,342,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,58.18,0.02,0.0,65.06,128.81,5,251,26,CNN 16k,IID,FashionMNIST,0.23,0.9157,0.8833,0.2501,0.61,0.8248,0.8164,0.6315,"{ON,OFF,OFF,OFF,OFF,ON}",6.88
Client 1,8,120.77,0.25,0.0,15.51,,5,363,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,102.81,0.09,0.0,19.73,,5,345,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,100.48,0.0,0.0,50.09,156.65,5,311,26,CNN 16k,IID,FashionMNIST,0.19,0.9294,0.907,0.2208,0.69,0.813,0.791,0.5612,"{ON,OFF,OFF,OFF,OFF,ON}",6.33
Client 1,9,196.87,0.12,0.0,16.25,,5,366,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,175.84,0.09,0.0,21.11,,5,353,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,161.23,0.0,0.0,69.13,236.7,5,321,27,CNN 16k,IID,FashionMNIST,0.21,0.9231,0.912,0.2385,0.54,0.862,0.8517,0.4475,"{ON,OFF,OFF,OFF,OFF,ON}",6.96
Client 1,10,98.94,0.2,0.0,30.13,,5,349,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,103.13,0.18,0.0,25.0,,5,343,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,120.8,0.0,0.0,59.71,187.34,5,292,26,CNN 16k,IID,FashionMNIST,0.18,0.9336,0.8987,0.2041,0.62,0.8147,0.7999,0.5352,"{ON,OFF,OFF,OFF,OFF,ON}",6.96
