Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,4.95,0.04,0.0,1.64,,5,430,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,1.0,0.34,0.0,0.56,,5,230,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.43,0.23,0.0,44.44,,5,7,21,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.46,0.06,0.0,39.35,,3,7,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,6.45,0.19,0.0,4.3,45.84,3,291,22,MLP,IID,AG_NEWS,0.35,0.8853,0.8112,0.1669,1.2,0.6764,0.618,0.5721,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.18
Client 1,2,5.47,0.04,0.0,1.51,,5,348,24,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,2.49,0.26,0.0,1.48,,5,254,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,1.09,0.23,0.0,34.91,,5,13,25,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,1.83,0.16,0.0,45.63,,3,20,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,8.2,0.19,0.0,3.8,48.53,3,280,24,MLP,IID,AG_NEWS,0.19,0.9435,0.9029,0.0852,1.07,0.7371,0.6891,0.4853,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.21
Client 1,3,5.51,0.04,0.0,1.7,,5,370,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,1.57,0.11,0.0,0.74,,5,194,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.84,0.18,0.0,22.09,,5,30,30,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,2.08,0.06,0.0,28.02,,3,27,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,5.19,0.19,0.0,3.62,31.64,3,274,30,MLP,IID,AG_NEWS,0.17,0.9504,0.9388,0.0721,0.89,0.7849,0.7437,0.3895,,"{OFF,OFF,ON,OFF,OFF,OFF}",0.29
