Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 3,23,0.82,0.22,0.0,45.48,47.6,5,8,50,MLP,IID,AG_NEWS,0.09,0.9793,0.9332,0.0311,1.45,0.7857,0.786,0.3478,,"{ON,OFF,OFF,OFF,OFF,OFF}",54.08
Client 1,24,2.18,0.2,0.0,0.49,,5,243,53,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,24,0.58,0.07,0.0,0.26,,5,251,51,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,24,0.9,0.22,0.0,47.53,49.69,5,8,52,MLP,IID,AG_NEWS,0.08,0.9794,0.9314,0.0307,1.49,0.782,0.782,0.3563,,"{ON,OFF,OFF,OFF,OFF,OFF}",55.2
Client 1,25,2.28,0.2,0.0,0.46,,5,242,53,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,25,0.63,0.07,0.0,0.27,,5,249,51,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,25,0.96,0.22,0.0,31.53,33.91,5,12,54,MLP,IID,AG_NEWS,0.08,0.9801,0.9308,0.0299,1.56,0.7776,0.7779,0.3709,,"{ON,OFF,OFF,OFF,OFF,OFF}",48.22
Client 1,26,2.06,0.2,0.0,0.47,,5,245,55,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,26,0.74,0.06,0.0,0.28,,5,243,53,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,26,1.02,0.22,0.0,44.58,46.96,5,9,55,MLP,IID,AG_NEWS,0.09,0.9799,0.9296,0.03,1.46,0.7888,0.7889,0.3479,,"{ON,OFF,OFF,OFF,OFF,OFF}",49.45
Client 1,27,2.17,0.2,0.0,0.5,,5,242,57,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,27,0.73,0.06,0.0,0.3,,5,251,53,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,27,1.06,0.22,0.0,42.6,45.2,5,10,56,MLP,IID,AG_NEWS,0.08,0.98,0.9287,0.0298,1.59,0.7762,0.7769,0.3719,,"{ON,OFF,OFF,OFF,OFF,OFF}",47.25
Client 1,28,2.26,0.2,0.0,0.55,,5,243,56,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,28,0.67,0.06,0.0,0.29,,5,262,55,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,28,1.11,0.23,0.0,24.53,26.79,5,16,54,MLP,IID,AG_NEWS,0.08,0.9805,0.9276,0.029,1.48,0.7872,0.7877,0.3573,,"{ON,OFF,OFF,OFF,OFF,ON}",44.66
Client 1,29,2.22,0.2,0.0,0.51,,5,239,57,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,29,0.72,0.07,0.0,0.3,,5,255,56,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,29,1.15,0.23,0.0,44.58,46.91,5,10,55,MLP,IID,AG_NEWS,0.08,0.9803,0.926,0.0294,1.53,0.7826,0.7832,0.3653,,"{ON,OFF,OFF,OFF,OFF,OFF}",48.56
Client 1,30,2.23,0.2,0.0,0.47,,5,223,57,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,30,0.77,0.06,0.0,0.3,,5,242,55,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,30,1.07,0.23,0.0,35.5,38.12,5,10,55,MLP,IID,AG_NEWS,0.08,0.9802,0.9243,0.0302,1.42,0.7911,0.7912,0.346,,"{ON,OFF,OFF,OFF,OFF,ON}",46.93
Client 1,31,2.42,0.2,0.0,0.48,,5,237,57,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,31,0.8,0.06,0.0,0.3,,5,256,57,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,31,1.09,0.23,0.0,26.55,29.01,5,15,56,MLP,IID,AG_NEWS,0.08,0.9807,0.9237,0.0289,1.38,0.7936,0.7938,0.3441,,"{ON,OFF,OFF,OFF,OFF,OFF}",58.7
Client 1,32,2.53,0.2,0.0,0.53,,5,235,58,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,32,0.87,0.06,0.0,0.35,,5,251,57,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,32,1.23,0.23,0.0,38.57,41.32,5,12,57,MLP,IID,AG_NEWS,0.08,0.9803,0.9228,0.0292,1.48,0.7859,0.7865,0.3603,,"{ON,OFF,OFF,OFF,OFF,ON}",50.57
