Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,45.36,0.0,0.0,12.33,,5,301,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,19.46,0.0,0.0,12.95,,5,190,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,19.06,0.0,0.0,47.93,,5,173,19,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,17.55,0.0,0.0,28.32,,3,140,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,64.38,0.0,0.0,27.01,93.86,3,269,20,CNN 16k,IID,FashionMNIST,0.27,0.9138,0.8136,0.253,1.32,0.751,0.7139,0.7804,"{OFF,OFF,OFF,OFF,OFF,OFF}",180.29
Client 1,2,65.91,0.0,0.0,13.6,,5,280,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,40.07,0.0,0.0,15.42,,5,207,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,33.68,0.0,0.0,42.79,,5,178,19,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,38.22,0.0,0.0,22.66,,3,181,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,81.26,0.0,0.0,25.32,112.56,3,257,20,CNN 16k,IID,FashionMNIST,0.22,0.9219,0.8787,0.2586,0.83,0.8057,0.787,0.5645,"{OFF,OFF,OFF,OFF,OFF,OFF}",178.79
Client 1,3,71.95,0.0,0.0,20.07,,5,368,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,49.4,0.0,0.0,11.91,,5,309,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,56.53,0.0,0.0,36.63,107.0,5,273,20,CNN 16k,IID,FashionMNIST,0.28,0.8983,0.8837,0.3137,0.83,0.7773,0.7494,0.7008,"{ON,OFF,OFF,OFF,OFF,OFF}",180.19
Client 1,4,107.98,0.0,0.0,14.6,,5,268,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,74.3,0.0,0.0,23.11,,5,217,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,77.97,0.0,0.0,34.82,,5,227,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,4,52.01,0.0,0.0,28.8,,3,184,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,4,121.17,0.0,0.0,30.0,158.82,3,250,20,CNN 16k,IID,FashionMNIST,0.24,0.9104,0.8937,0.2818,0.6,0.8296,0.8153,0.5925,"{ON,OFF,OFF,OFF,OFF,OFF}",180.26
Client 1,5,136.63,0.0,0.0,13.2,,5,246,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,101.9,0.0,0.0,28.23,,5,212,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,98.84,0.0,0.0,56.86,,5,212,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,83.45,0.0,0.0,55.66,,3,165,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,5,149.12,0.0,0.0,28.69,185.18,3,241,20,CNN 16k,IID,FashionMNIST,0.2,0.9266,0.8995,0.2575,0.68,0.827,0.8116,0.5204,"{ON,OFF,OFF,OFF,OFF,OFF}",180.32
Client 1,6,157.49,0.0,0.0,14.21,,5,243,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,121.98,0.0,0.0,32.07,,5,218,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,117.07,0.0,0.0,66.32,,5,195,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,6,103.2,0.0,0.0,84.73,,3,157,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,6,169.3,0.0,0.0,26.02,207.28,3,237,20,CNN 16k,IID,FashionMNIST,0.22,0.9186,0.8987,0.2787,0.51,0.8415,0.8331,0.4755,"{ON,OFF,OFF,OFF,OFF,OFF}",180.5
Client 1,7,181.03,0.0,0.0,13.78,,5,238,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,142.4,0.0,0.0,36.58,,5,218,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,140.67,0.0,0.0,40.68,,5,226,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,7,117.51,0.0,0.0,53.54,,3,196,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,7,188.69,0.0,0.0,24.6,221.23,3,233,20,CNN 16k,IID,FashionMNIST,0.2,0.9273,0.8823,0.2293,0.49,0.8401,0.8349,0.4904,"{ON,OFF,OFF,OFF,OFF,OFF}",180.39
Client 1,8,182.68,0.0,0.0,18.13,,5,225,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,149.36,0.0,0.0,38.94,,5,208,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,152.03,0.0,0.0,52.33,,5,220,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,8,144.3,0.0,0.0,84.91,,3,168,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,8,187.86,0.0,0.0,27.63,251.24,3,227,20,CNN 16k,IID,FashionMNIST,0.16,0.9429,0.9199,0.1897,0.63,0.8377,0.8175,0.5116,"{ON,OFF,OFF,OFF,OFF,OFF}",180.4
Client 1,9,188.31,0.0,0.0,27.76,,5,218,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,176.29,0.0,0.0,33.24,,5,211,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,179.14,0.0,0.0,42.13,,5,225,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,9,162.56,0.0,0.0,74.99,,3,179,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,9,195.72,0.0,0.0,35.68,257.69,3,224,20,CNN 16k,IID,FashionMNIST,0.18,0.934,0.9224,0.1955,0.57,0.8501,0.8366,0.594,"{ON,OFF,OFF,OFF,OFF,OFF}",180.41
Client 1,10,198.46,0.0,0.0,31.29,,5,221,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,185.69,0.0,0.0,37.0,,5,213,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,180.75,0.0,0.0,52.88,,5,221,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,10,178.72,0.0,0.0,39.49,,3,209,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,10,188.5,0.0,0.0,42.11,247.48,3,219,20,CNN 16k,IID,FashionMNIST,0.14,0.9479,0.9294,0.1515,0.66,0.8498,0.8333,0.466,"{ON,OFF,OFF,OFF,OFF,OFF}",180.41
