Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,36.97,0.0,0.0,17.11,,5,324,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,1,9.88,0.0,0.0,9.67,,5,163,32,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,1,12.18,0.0,0.0,16.1,,5,258,31,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,1,9.28,0.0,0.0,34.71,,5,97,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,1,47.4,0.0,0.0,16.21,71.75,5,369,29,CNN 16k,IID,CIFAR-10,1.18,0.5993,0.3989,1.5756,2.16,0.385,0.3185,2.2637,"{OFF,OFF,OFF,OFF,OFF,OFF}",73.83
Client 1,2,43.65,0.0,0.0,15.84,,5,317,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,2,14.97,0.0,0.0,10.53,,5,178,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,2,15.73,0.0,0.0,42.87,,5,146,28,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,2,16.17,0.0,0.0,60.09,,5,97,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,2,55.68,0.0,0.0,17.39,93.38,5,369,29,CNN 16k,IID,CIFAR-10,1.21,0.5633,0.5073,1.4846,1.82,0.4666,0.4388,1.9402,"{OFF,OFF,OFF,OFF,OFF,OFF}",52.7
Client 1,3,57.59,0.0,0.0,16.93,,5,306,24,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,3,22.24,0.0,0.0,17.62,,5,192,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,3,19.77,0.0,0.0,53.23,,5,153,30,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,3,25.51,0.0,0.0,48.78,,5,122,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,3,66.89,0.0,0.0,16.2,92.76,5,342,27,CNN 16k,IID,CIFAR-10,0.96,0.6647,0.5359,1.2041,1.74,0.4692,0.4369,1.8545,"{OFF,OFF,OFF,OFF,OFF,OFF}",69.46
Client 1,4,68.64,0.0,0.0,16.12,,5,287,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,4,35.94,0.0,0.0,17.97,,5,195,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,4,40.51,0.0,0.0,31.9,,5,213,29,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,4,32.71,0.0,0.0,47.78,,5,133,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,4,78.98,0.0,0.0,15.74,101.26,5,320,27,CNN 16k,IID,CIFAR-10,0.91,0.6817,0.5558,1.0968,1.84,0.4776,0.4569,1.7985,"{OFF,OFF,OFF,OFF,OFF,OFF}",59.49
Client 1,5,73.33,0.0,0.0,15.99,,5,280,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,5,42.64,0.0,0.0,19.22,,5,207,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 3,5,30.92,0.0,0.0,28.05,,5,250,29,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 4,5,41.87,0.0,0.0,20.68,,5,192,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 5,5,85.58,0.0,0.0,15.42,108.45,5,317,25,CNN 16k,IID,CIFAR-10,0.98,0.655,0.5829,1.2536,1.61,0.5164,0.4904,1.6982,"{OFF,OFF,OFF,OFF,OFF,ON}",77.11
Client 1,6,84.9,0.0,0.0,16.34,,5,277,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,6,50.57,0.0,0.0,22.07,,5,209,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
