Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,2.29,0.18,0.0,0.56,,5,278,23,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.62,0.26,0.0,0.69,,5,146,20,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.36,0.28,0.0,49.56,,5,6,22,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.43,0.15,0.0,29.45,,3,6,23,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,2.17,0.23,0.0,0.52,51.4,3,186,23,MLP,IID,AG_NEWS,0.35,0.8832,0.6718,0.1895,1.41,0.5393,0.4438,0.8125,,"{OFF,OFF,OFF,OFF,OFF,OFF}",44.66
Client 1,2,1.93,0.18,0.0,0.47,,5,254,27,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,0.52,0.16,0.0,0.25,,5,236,26,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,0.74,0.28,0.0,42.5,44.9,5,8,26,MLP,IID,AG_NEWS,0.24,0.9267,0.8466,0.1088,0.76,0.7302,0.7133,0.4525,,"{ON,OFF,OFF,OFF,OFF,ON}",46.69
Client 1,3,2.61,0.18,0.0,0.47,,5,239,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,0.74,0.03,0.0,0.33,,5,260,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.12,0.22,0.0,46.55,49.52,5,9,29,MLP,IID,AG_NEWS,0.18,0.9457,0.9233,0.0799,0.59,0.8027,0.7925,0.3238,,"{ON,OFF,OFF,OFF,OFF,OFF}",54.06
