Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,4.82,0.06,0.0,1.8,,5,382,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.61,0.39,0.0,1.86,,5,234,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,1.08,0.26,0.0,46.45,,5,15,21,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.8,0.28,0.0,48.16,,3,11,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,7.87,0.21,0.0,4.29,50.24,3,276,21,MLP,IID,AG_NEWS,0.3,0.9091,0.8058,0.1393,1.16,0.6614,0.6016,0.6149,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.2
Client 1,2,5.29,0.06,0.0,1.48,,5,395,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,1.27,0.31,0.0,0.84,,5,201,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,1.34,0.26,0.0,34.76,,5,15,25,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,1.53,0.19,0.0,37.3,,3,19,26,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,8.0,0.21,0.0,4.32,39.91,3,283,25,MLP,IID,AG_NEWS,0.17,0.9528,0.9082,0.0747,1.07,0.726,0.6743,0.4914,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.21
Client 1,3,6.81,0.06,0.0,1.72,,5,365,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,2.95,0.16,0.0,1.63,,5,232,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.51,0.2,0.0,29.82,,5,18,31,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,2.2,0.31,0.0,45.07,,3,24,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,7.66,0.21,0.0,3.9,48.8,3,269,30,MLP,IID,AG_NEWS,0.14,0.9613,0.9367,0.0611,1.0,0.7561,0.7066,0.4006,,"{OFF,OFF,ON,OFF,OFF,OFF}",0.13
