Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,44.92,0.0,0.0,13.29,,5,311,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,17.32,0.0,0.0,12.8,,5,191,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,18.29,0.0,0.0,35.1,,5,196,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,17.62,0.0,0.0,29.7,,3,133,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,64.85,0.0,0.0,28.98,96.47,3,273,17,CNN 16k,IID,FashionMNIST,0.41,0.865,0.8164,0.4356,1.24,0.7555,0.7286,0.7335,"{OFF,OFF,OFF,OFF,OFF,OFF}",43.78
Client 1,2,34.45,0.0,0.0,13.23,,5,373,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,15.35,0.0,0.0,7.93,,5,282,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,23.37,0.0,0.0,17.57,58.79,5,303,16,CNN 16k,IID,FashionMNIST,0.15,0.9454,0.8658,0.1823,1.01,0.7631,0.7314,0.7165,"{ON,OFF,OFF,OFF,OFF,OFF}",202.15
Client 1,3,82.01,0.0,0.0,13.19,,5,280,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,54.6,0.0,0.0,15.73,,5,216,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,54.89,0.0,0.0,31.76,,5,217,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,36.86,0.0,0.0,61.49,,3,132,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,95.69,0.0,0.0,25.02,124.1,3,255,17,CNN 16k,IID,FashionMNIST,0.26,0.9046,0.8667,0.2736,0.67,0.8049,0.7883,0.6385,"{OFF,OFF,OFF,OFF,OFF,OFF}",34.54
Client 1,4,53.53,0.0,0.0,13.3,,5,368,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,38.22,0.0,0.0,10.58,,5,322,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,39.64,0.0,0.0,44.2,87.17,5,243,17,CNN 16k,IID,FashionMNIST,0.23,0.9174,0.8778,0.2509,0.53,0.819,0.815,0.5651,"{ON,OFF,OFF,OFF,OFF,OFF}",41.24
Client 1,5,13.28,0.05,209.51,7.41,,5,419,43,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,13.31,0.05,134.7,7.76,,5,403,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,63.99,0.03,0.0,30.9,237.92,5,313,17,CNN 16k,IID,FashionMNIST,0.58,0.738,0.7245,1.0162,0.74,0.8114,0.7899,0.5796,"{ON,OFF,OFF,OFF,OFF,ON}",28.37
Client 1,6,136.51,0.0,0.0,15.12,,5,258,43,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,105.17,0.0,0.0,26.91,,5,227,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,111.07,0.0,0.0,35.19,,5,236,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,6,59.6,0.0,0.0,52.31,,3,171,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,6,146.29,0.0,0.0,27.41,176.48,3,250,17,CNN 16k,IID,FashionMNIST,0.23,0.9137,0.8583,0.2683,0.54,0.8195,0.8038,0.6463,"{OFF,OFF,OFF,OFF,OFF,OFF}",40.61
Client 1,7,14.45,0.05,343.62,6.8,,5,321,48,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,46.41,0.05,218.68,7.92,,5,250,36,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,121.8,0.02,0.0,108.19,,5,191,18,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,7,100.8,0.05,123.96,32.47,,3,214,34,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,7,178.83,0.0,0.0,48.96,373.63,3,236,16,CNN 16k,IID,FashionMNIST,0.37,0.8314,0.822,0.6184,0.65,0.8425,0.8281,0.5171,"{OFF,OFF,ON,OFF,OFF,ON}",39.28
Client 1,8,165.03,0.0,0.0,21.12,,5,237,51,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,148.6,0.0,0.0,28.16,,5,224,38,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
