Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,10.85,0.07,0.0,4.48,,5,392,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,3.44,0.37,0.0,2.13,,5,235,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,1.53,0.25,0.0,40.15,,5,28,21,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,4.32,0.08,0.0,26.47,,3,58,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,17.26,0.2,0.0,11.21,44.51,3,287,21,MLP,IID,AG_NEWS,0.32,0.8998,0.8008,0.1469,1.19,0.6583,0.5981,0.6111,,"{OFF,OFF,OFF,OFF,OFF,OFF}",75.37
Client 1,2,14.53,0.07,0.0,4.69,,5,467,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,2.46,0.26,0.0,1.77,,5,340,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,2.27,0.25,0.0,41.52,47.34,5,35,25,MLP,IID,AG_NEWS,0.22,0.934,0.8748,0.1109,0.64,0.774,0.7605,0.397,,"{ON,OFF,OFF,OFF,OFF,ON}",57.01
Client 1,3,13.5,0.07,0.0,5.13,,5,451,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,3.93,0.13,0.0,2.03,,5,342,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,3.56,0.19,0.0,39.99,46.63,5,55,30,MLP,IID,AG_NEWS,0.17,0.9476,0.884,0.0836,0.51,0.8347,0.8238,0.2679,,"{ON,OFF,OFF,OFF,OFF,OFF}",62.34
Client 1,4,12.91,0.07,0.0,4.77,,5,439,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,3.9,0.17,0.0,3.3,,5,353,28,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,4.17,0.19,0.0,34.35,42.45,5,65,28,MLP,IID,AG_NEWS,0.14,0.9582,0.8874,0.0634,0.53,0.8341,0.8242,0.2684,,"{ON,OFF,OFF,OFF,OFF,ON}",59.72
Client 1,5,15.28,0.07,0.0,5.5,,5,432,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,5,8.12,0.18,0.0,2.09,,5,361,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,5,6.31,0.23,0.0,22.84,32.02,5,115,30,MLP,IID,AG_NEWS,0.12,0.9639,0.8846,0.0531,0.56,0.831,0.8225,0.2934,,"{ON,OFF,OFF,OFF,OFF,ON}",43.2
