Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,4.7,0.14,0.0,1.9,,5,411,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.74,0.29,0.0,1.4,,5,260,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.57,0.32,0.0,38.58,,5,8,22,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.54,0.01,0.0,25.84,,3,16,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,6.52,0.3,0.0,3.98,40.17,3,287,21,MLP,IID,AG_NEWS,0.34,0.8851,0.6248,0.1695,1.82,0.5163,0.4118,0.9385,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.09
Client 1,2,5.35,0.14,0.0,1.82,,5,380,26,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,1.46,0.19,0.0,1.29,,5,206,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,1.15,0.32,0.0,45.08,,5,12,25,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,1.82,0.17,0.0,32.9,,3,22,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,7.91,0.3,0.0,4.0,47.31,3,277,25,MLP,IID,AG_NEWS,0.2,0.9401,0.772,0.0847,1.44,0.6269,0.5586,0.7559,,"{ON,OFF,OFF,OFF,OFF,OFF}",0.21
Client 1,3,5.05,0.14,0.0,1.8,,5,342,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,2.17,0.09,0.0,1.16,,5,221,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.7,0.3,0.0,49.79,,5,12,29,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,3.04,0.08,0.0,42.4,,3,26,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,8.39,0.3,0.0,4.12,53.08,3,280,29,MLP,IID,AG_NEWS,0.16,0.9504,0.8472,0.0678,1.2,0.6862,0.6286,0.6597,,"{ON,OFF,ON,OFF,OFF,OFF}",0.21
Client 1,4,6.01,0.14,0.0,1.78,,5,351,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,2.02,0.13,0.0,0.96,,5,202,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,3.03,0.3,0.0,23.98,,5,37,33,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,4,3.53,0.06,0.0,40.39,,3,30,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,4,7.5,0.3,0.0,3.7,45.03,3,272,30,MLP,IID,AG_NEWS,0.14,0.9572,0.8664,0.0595,1.06,0.7104,0.6646,0.6148,,"{OFF,OFF,OFF,OFF,OFF,ON}",0.21
