Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,55.9,0.1,0.0,24.59,,5,362,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,17.87,0.29,0.0,9.85,,5,190,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,18.9,0.55,0.0,54.3,,5,102,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,18.18,0.44,0.0,28.96,,3,142,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,79.59,0.26,0.0,60.28,151.26,3,273,16,CNN 16k,non-IID,FashionMNIST,0.33,0.8889,0.7615,0.3567,1.88,0.6545,0.5981,1.079,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.01
Client 1,2,68.24,0.18,0.0,27.31,,5,354,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,27.26,0.26,0.0,13.01,,5,196,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,31.11,0.23,0.0,42.49,,5,119,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,29.77,0.32,0.0,42.87,,3,151,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,95.09,0.19,0.0,43.99,150.91,3,265,16,CNN 16k,non-IID,FashionMNIST,0.22,0.9198,0.8497,0.236,1.31,0.7459,0.7045,0.8355,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.01
Client 1,3,94.05,0.19,0.0,28.98,,5,326,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,45.44,0.3,0.0,18.69,,5,206,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,45.42,0.26,0.0,69.32,,5,131,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,61.8,0.21,0.0,58.06,,3,151,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,109.6,0.09,0.0,49.69,171.09,3,258,18,CNN 16k,non-IID,FashionMNIST,0.25,0.9117,0.8605,0.2804,0.73,0.7787,0.7551,0.6362,"{OFF,OFF,ON,OFF,OFF,OFF}",0.02
Client 1,4,121.07,0.17,0.0,20.63,,5,278,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,74.65,0.17,0.0,31.81,,5,209,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,71.13,0.2,0.0,81.27,,5,147,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,4,80.36,0.11,0.0,28.45,,3,207,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,4,128.21,0.21,0.0,100.71,240.72,3,257,17,CNN 16k,non-IID,FashionMNIST,0.17,0.9398,0.8858,0.1937,0.93,0.7755,0.7438,0.6682,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.01
Client 1,5,73.86,0.14,0.0,23.9,,5,386,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,47.63,0.16,0.0,16.12,,5,329,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,42.86,0.12,0.0,41.52,110.32,5,250,17,CNN 16k,non-IID,FashionMNIST,0.14,0.9483,0.9138,0.1231,1.08,0.8077,0.7771,0.7271,"{ON,OFF,ON,OFF,OFF,OFF}",0.01
Client 1,6,70.09,0.06,0.0,22.33,,5,384,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,44.58,0.3,0.0,16.84,,5,326,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,47.45,0.34,0.0,18.4,103.78,5,326,17,CNN 16k,non-IID,FashionMNIST,0.22,0.9199,0.8969,0.2811,0.61,0.8048,0.7913,0.6185,"{ON,OFF,ON,OFF,OFF,OFF}",0.01
Client 1,7,158.41,0.18,0.0,23.5,,5,256,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,130.93,0.15,0.0,31.07,,5,228,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,115.12,0.29,0.0,73.88,,5,166,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,7,92.81,0.15,0.0,79.36,,3,185,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,7,155.85,0.19,0.0,49.64,216.48,3,237,18,CNN 16k,non-IID,FashionMNIST,0.16,0.9417,0.8763,0.1678,0.67,0.787,0.7604,0.7146,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.01
Client 1,8,159.52,0.13,0.0,28.67,,5,245,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,133.96,0.17,0.0,39.03,,5,226,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,134.51,0.15,0.0,63.21,,5,203,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,8,89.58,0.15,0.0,88.32,,3,159,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,8,163.5,0.16,0.0,42.86,218.66,3,236,16,CNN 16k,non-IID,FashionMNIST,0.2,0.9246,0.9168,0.2077,0.81,0.8085,0.7785,0.646,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.03
Client 1,9,146.5,0.05,175.96,24.5,,5,326,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,39.96,0.05,346.45,23.42,,5,376,41,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,20.21,0.05,413.54,13.67,456.51,5,392,40,CNN 16k,non-IID,FashionMNIST,0.5,0.7819,0.7805,0.5804,0.77,0.8099,0.7881,0.618,"{ON,OFF,ON,OFF,OFF,ON}",0.02
