csv_file,configuration,repeat,total_duration_seconds,final_val_accuracy,max_val_accuracy_reached_in_run
r1.csv,random_original,1,497.0,0.8063,0.8063
r2.csv,random_original,2,487.8,0.7494,0.7494
r3.csv,random_original,3,493.4,0.8178,0.8178
r4.csv,random_original,4,498.2,0.7977,0.7977
r5.csv,random_original,5,503.9,0.7965,0.7965
r6.csv,random_original,6,498.3,0.7829,0.7829
r7.csv,random_original,7,503.4,0.8205,0.8205
r8.csv,random_original,8,513.5,0.8119,0.8119
r9.csv,random_original,9,464.5,0.7637,0.7648
r10.csv,random_original,10,451.4,0.8061,0.8061
r11_delay50.csv,random_delay50,11,566.6,0.7419,0.7419
r12_delay50.csv,random_delay50,12,568.9,0.7538,0.7624
r13_delay50.csv,random_delay50,13,570.2,0.733,0.7475
r14_delay50.csv,random_delay50,14,569.8,0.7777,0.7942
r15_delay50.csv,random_delay50,15,569.2,0.7466,0.7466
r16_delay50.csv,random_delay50,16,568.4,0.8133,0.8289
r17_delay50.csv,random_delay50,17,568.6,0.8135,0.8135
r18_delay50.csv,random_delay50,18,570.3,0.798,0.798
r19_delay50.csv,random_delay50,19,566.4,0.7872,0.7908
r20_delay50.csv,random_delay50,20,562.9,0.7486,0.7486
