Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,3.27,0.11,0.0,0.6,,5,246,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.72,0.25,0.0,0.7,,5,145,24,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.63,0.26,0.0,31.61,,5,9,23,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.56,0.06,0.0,40.52,,3,5,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,2.79,0.23,0.0,0.64,43.15,3,180,22,MLP,IID,AG_NEWS,0.35,0.8768,0.7546,0.1756,1.22,0.5992,0.5322,0.778,,"{OFF,OFF,OFF,OFF,OFF,OFF}",50.73
