Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
a1584dd9b5b1,1,129,355.47,484,48,taskA,,,,,,,,
34624363e51e,1,164,320.3,484,45,taskA,3256,0.23,0.18,20802,0.23,0.19,192,484
010aeddaeb66,1,192,292.22,484,41,taskB,,,,,,,,
a035594dfdd9,1,172,312.32,484,46,taskB,1,0.66,0.65,1,0.68,0.67,192,484
34624363e51e,2,106,230.96,337,43,taskA,,,,,,,,
a1584dd9b5b1,2,72,265.04,337,54,taskA,2793,0.34,0.33,17826,0.35,0.33,137,337
a035594dfdd9,2,120,217.4,337,44,taskB,,,,,,,,
010aeddaeb66,2,137,200.28,337,49,taskB,1,0.68,0.67,1,0.7,0.69,137,337
a1584dd9b5b1,3,82,248.9,331,56,taskA,,,,,,,,
34624363e51e,3,115,216.01,331,44,taskA,2553,0.41,0.39,16308,0.41,0.39,143,331
a035594dfdd9,3,124,206.46,331,42,taskB,,,,,,,,
010aeddaeb66,3,143,188.23,331,28,taskB,1,0.73,0.72,1,0.75,0.74,143,331
a1584dd9b5b1,4,75,249.16,325,55,taskA,,,,,,,,
34624363e51e,4,101,223.57,325,45,taskA,2402,0.44,0.43,15399,0.44,0.43,130,325
010aeddaeb66,4,130,194.31,325,47,taskB,,,,,,,,
a035594dfdd9,4,116,208.62,325,43,taskB,1,0.75,0.74,1,0.77,0.76,130,325
a1584dd9b5b1,5,83,280.83,363,54,taskA,,,,,,,,
34624363e51e,5,106,257.47,363,43,taskA,2398,0.45,0.43,15418,0.44,0.43,133,363
a035594dfdd9,5,115,248.59,363,42,taskB,,,,,,,,
010aeddaeb66,5,133,230.08,363,40,taskB,1,0.76,0.75,1,0.77,0.76,133,363
34624363e51e,6,107,199.76,307,44,taskA,,,,,,,,
a1584dd9b5b1,6,90,217.34,307,53,taskA,2243,0.48,0.47,14493,0.48,0.46,137,307
a035594dfdd9,6,122,184.71,307,43,taskB,,,,,,,,
010aeddaeb66,6,137,169.78,307,29,taskB,1,0.77,0.77,1,0.79,0.78,137,307
34624363e51e,7,112,226.66,339,45,taskA,,,,,,,,
a1584dd9b5b1,7,81,258.12,339,54,taskA,2132,0.51,0.5,13868,0.5,0.49,150,339
a035594dfdd9,7,123,215.6,339,43,taskB,,,,,,,,
010aeddaeb66,7,150,189.27,339,50,taskB,1,0.79,0.79,1,0.8,0.8,150,339
a1584dd9b5b1,8,75,213.36,289,54,taskA,,,,,,,,
34624363e51e,8,107,181.59,289,44,taskA,2153,0.51,0.5,14055,0.5,0.49,139,289
a035594dfdd9,8,122,166.61,289,43,taskB,,,,,,,,
010aeddaeb66,8,139,149.49,289,40,taskB,1,0.79,0.79,0,0.82,0.81,139,289
