Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
e8619f6f26ea,1,6,7.62,13,15,taskA,,,,,,,,
d6f765ae0f2a,1,2,11.31,13,18,taskA,0,0.16,0.11,0,0.17,0.09,6,18
d6f765ae0f2a,2,2,8.29,11,14,taskA,,,,,,,,
e8619f6f26ea,2,4,6.7,11,14,taskA,0,0.16,0.1,0,0.19,0.09,4,11
e8619f6f26ea,3,4,8.2,13,12,taskA,,,,,,,,
d6f765ae0f2a,3,2,10.09,13,14,taskA,0,0.16,0.11,0,0.2,0.08,4,13
e8619f6f26ea,4,6,4.31,10,20,taskA,,,,,,,,
d6f765ae0f2a,4,2,7.89,10,14,taskA,0,0.14,0.1,0,0.21,0.08,6,10
d6f765ae0f2a,5,2,7.7,10,14,taskA,,,,,,,,
e8619f6f26ea,5,4,5.51,10,19,taskA,0,0.16,0.1,0,0.21,0.08,4,10
d6f765ae0f2a,6,3,5.09,8,14,taskA,,,,,,,,
e8619f6f26ea,6,3,4.8,8,20,taskA,0,0.15,0.1,0,0.21,0.08,3,8
d6f765ae0f2a,7,3,1.71,4,14,taskA,,,,,,,,
e8619f6f26ea,7,2,2.32,4,16,taskA,0,0.15,0.11,0,0.21,0.08,3,4
d6f765ae0f2a,8,3,3.6,6,18,taskA,,,,,,,,
e8619f6f26ea,8,3,3.02,6,18,taskA,0,0.15,0.1,0,0.2,0.08,3,6
