Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,211,125.53,336.53,34,taskA,,,,,,,,341.0
Client 2 - A,1,174,162.7,336.7,35,taskA,0.0,0.19,0.09,0.0,0.2,0.09,211.0,341.0
Client 3 - A,1,202,134.34,336.34000000000003,34,taskA,,,,,,,,341.0
Client 4 - A,1,200,136.36,336.36,35,taskA,,,,,,,,341.0
Client 1 - A,2,253,495.02,748.02,29,taskA,,,,,,,,748.0
Client 2 - A,2,200,547.59,747.59,29,taskA,0.0,0.29,0.12,0.0,0.29,0.12,253.0,748.0
Client 3 - A,2,227,521.03,748.03,23,taskA,,,,,,,,748.0
Client 4 - A,2,196,551.75,747.75,27,taskA,,,,,,,,748.0
Client 1 - A,3,212,148.52,360.52,29,taskA,,,,,,,,360.0
Client 2 - A,3,180,179.78,359.78,23,taskA,0.0,0.34,0.13,0.0,0.34,0.13,212.0,360.0
Client 3 - A,3,209,150.82,359.82,21,taskA,,,,,,,,360.0
Client 4 - A,3,193,167.34,360.34000000000003,23,taskA,,,,,,,,360.0
Client 1 - A,4,223,186.6,409.6,19,taskA,,,,,,,,410.0
Client 2 - A,4,197,212.67,409.66999999999996,27,taskA,0.0,0.35,0.13,0.0,0.35,0.13,223.0,410.0
Client 3 - A,4,205,205.21,410.21000000000004,40,taskA,,,,,,,,410.0
Client 4 - A,4,166,243.93,409.93,26,taskA,,,,,,,,410.0
Client 1 - A,5,242,292.92,534.9200000000001,40,taskA,,,,,,,,535.0
Client 2 - A,5,190,344.58,534.5799999999999,25,taskA,0.0,0.36,0.12,0.0,0.36,0.12,242.0,535.0
Client 3 - A,5,220,315.11,535.11,20,taskA,,,,,,,,535.0
Client 4 - A,5,186,348.74,534.74,27,taskA,,,,,,,,535.0
Client 1 - A,6,242,296.92,538.9200000000001,23,taskA,,,,,,,,539.0
Client 2 - A,6,183,355.87,538.87,26,taskA,,,,,,,,539.0
Client 3 - A,6,226,313.13,539.13,20,taskA,,,,,,,,539.0
Client 4 - A,6,183,355.84,538.8399999999999,25,taskA,0.0,0.37,0.12,0.0,0.37,0.12,242.0,539.0
Client 1 - A,7,253,218.41,471.40999999999997,37,taskA,,,,,,,,472.0
Client 2 - A,7,190,281.28,471.28,26,taskA,0.0,0.37,0.12,0.0,0.37,0.12,253.0,472.0
Client 3 - A,7,231,241.22,472.22,20,taskA,,,,,,,,472.0
Client 4 - A,7,186,286.24,472.24,24,taskA,,,,,,,,472.0
Client 1 - A,8,254,242.0,496.0,37,taskA,,,,,,,,496.0
Client 2 - A,8,188,308.57,496.57,27,taskA,,,,,,,,496.0
Client 3 - A,8,228,267.91,495.91,20,taskA,0.0,0.37,0.12,0.0,0.38,0.12,254.0,496.0
Client 4 - A,8,195,301.14,496.14,27,taskA,,,,,,,,496.0
Client 1 - A,9,253,334.52,587.52,26,taskA,0.0,0.38,0.12,0.0,0.38,0.12,253.0,587.0
Client 2 - A,9,188,398.98,586.98,26,taskA,,,,,,,,587.0
Client 3 - A,9,219,368.52,587.52,20,taskA,,,,,,,,587.0
Client 4 - A,9,198,389.64,587.64,26,taskA,,,,,,,,587.0
Client 1 - A,10,273,356.92,629.9200000000001,38,taskA,,,,,,,,630.0
Client 2 - A,10,184,445.69,629.69,25,taskA,,,,,,,,630.0
Client 3 - A,10,227,403.23,630.23,19,taskA,,,,,,,,630.0
Client 4 - A,10,206,424.35,630.35,24,taskA,0.0,0.38,0.12,0.0,0.38,0.12,273.0,630.0
