Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,Total Time of Training Round,Total Time of FL Round
dceb5515b002,1,26.19,8.94,35.14,55.95,taskA,,,,,,,,,,
2297d1b07a40,1,25.71,9.47,35.18,55.55,taskA,,,,,,,,,,
0ac04e1d33cd,1,25.26,8.81,34.06,58.35,taskA,,,,,,,,,,
ac3fe402b5bc,1,25.86,8.94,34.8,57.0,taskA,0.52,0.0,0.0,0.6938,0.5,0.0,0.0,0.6847,26,N/A
dceb5515b002,1,12.98,6.69,19.67,73.25,taskB,,,,,,,,,,
ac3fe402b5bc,1,12.82,6.89,19.71,48.9,taskB,,,,,,,,,,
0ac04e1d33cd,1,12.9,6.74,19.64,58.5,taskB,,,,,,,,,,
2297d1b07a40,1,12.97,6.72,19.68,71.6,taskB,3.44,0.056,0.0088,0.0,3.46,0.0424,0.0068,0.0,13,N/A
