Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,Total Time of Training Round,Total Time of FL Round
Client 2 - A,4,176.0,173.67,349.66999999999996,40.6,taskA,,,,,,,,,,
Client 3 - A,4,168.62,181.06,349.68,38.45,taskA,1011.04,0.38,0.2795,0.0,253.15,0.3726,0.2727,0.0,176.0,
Client 4 - A,4,155.4,194.27,349.67,44.75,taskA,,,,,,,,,,
Client 5 - A,4,143.97,205.7,349.66999999999996,45.9,taskA,,,,,,,,,,
Client 6 - A,4,163.07,186.61,349.68,40.8,taskA,,,,,,,,,,
Client 7 - A,4,171.05,178.62,349.67,40.35,taskA,,,,,,,,,,
Client 8 - A,4,127.42,222.25,349.67,49.35,taskA,,,,,,,,,,
Client 1 - B,4,259.31,321.47,580.78,56.3,taskB,,,,,,,,,,
Client 2 - B,4,293.62,287.18,580.8,50.05,taskB,,,,,,,,,,
Client 3 - B,4,292.03,288.78,580.81,38.75,taskB,0.05,0.3683,0.1269,0.1773,0.05,0.3714,0.1266,0.1763,326.0,
Client 4 - B,4,291.22,289.54,580.76,42.0,taskB,,,,,,,,,,
Client 5 - B,4,291.98,288.84,580.8199999999999,39.65,taskB,,,,,,,,,,
Client 6 - B,4,238.05,342.69,580.74,48.1,taskB,,,,,,,,,,
Client 7 - B,4,276.38,304.42,580.8,51.4,taskB,,,,,,,,,,
Client 8 - B,4,325.6,255.22,580.82,35.8,taskB,,,,,,,,,,
Client 1 - A,5,174.19,181.66,355.85,38.35,taskA,1005.05,0.3887,0.2847,0.0,251.84,0.3779,0.2763,0.0,182.0,
Client 2 - A,5,167.04,188.8,355.84000000000003,40.6,taskA,,,,,,,,,,
Client 3 - A,5,159.75,196.09,355.84000000000003,38.6,taskA,,,,,,,,,,
Client 4 - A,5,149.64,206.2,355.84,51.45,taskA,,,,,,,,,,
Client 5 - A,5,145.21,210.63,355.84000000000003,43.3,taskA,,,,,,,,,,
Client 6 - A,5,169.1,186.74,355.84000000000003,42.65,taskA,,,,,,,,,,
Client 7 - A,5,182.29,173.55,355.84000000000003,36.45,taskA,,,,,,,,,,
Client 8 - A,5,126.07,229.78,355.85,49.25,taskA,,,,,,,,,,
Client 1 - B,5,186.76,443.15,629.91,56.75,taskB,,,,,,,,,,
Client 2 - B,5,306.33,323.57,629.9,42.95,taskB,,,,,,,,,,
Client 3 - B,5,239.78,390.16,629.94,42.95,taskB,0.05,0.3791,0.1269,0.1748,0.05,0.3795,0.1263,0.175,306.0,
Client 4 - B,5,289.02,340.92,629.94,30.2,taskB,,,,,,,,,,
Client 5 - B,5,274.69,355.21,629.9,43.6,taskB,,,,,,,,,,
Client 6 - B,5,252.18,377.68,629.86,50.25,taskB,,,,,,,,,,
Client 7 - B,5,247.06,382.8,629.86,48.8,taskB,,,,,,,,,,
Client 8 - B,5,276.31,353.6,629.9100000000001,39.7,taskB,,,,,,,,,,
Client 1 - A,6,182.84,208.74,391.58000000000004,43.3,taskA,,,,,,,,,,
Client 2 - A,6,174.19,217.47,391.65999999999997,41.15,taskA,,,,,,,,,,
Client 3 - A,6,147.27,244.4,391.67,43.3,taskA,,,,,,,,,,
Client 4 - A,6,141.94,249.72,391.65999999999997,46.25,taskA,1005.59,0.3839,0.2774,0.0,251.93,0.3769,0.2722,0.0,183.0,
Client 5 - A,6,145.04,246.63,391.66999999999996,46.25,taskA,,,,,,,,,,
Client 6 - A,6,160.62,231.05,391.67,41.3,taskA,,,,,,,,,,
Client 7 - A,6,182.63,209.04,391.66999999999996,30.85,taskA,,,,,,,,,,
Client 8 - A,6,118.88,272.78,391.65999999999997,52.85,taskA,,,,,,,,,,
Client 1 - B,6,236.16,282.41,518.57,52.95,taskB,0.05,0.3801,0.1244,0.1733,0.05,0.3829,0.1241,0.1727,305.0,
Client 2 - B,6,285.48,233.04,518.52,38.45,taskB,,,,,,,,,,
Client 3 - B,6,292.65,225.93,518.5799999999999,37.2,taskB,,,,,,,,,,
Client 4 - B,6,266.19,252.37,518.56,40.1,taskB,,,,,,,,,,
Client 5 - B,6,274.89,243.68,518.5699999999999,48.55,taskB,,,,,,,,,,
Client 6 - B,6,240.32,278.24,518.56,49.4,taskB,,,,,,,,,,
Client 7 - B,6,252.3,266.27,518.5699999999999,43.8,taskB,,,,,,,,,,
Client 8 - B,6,304.98,213.57,518.55,38.9,taskB,,,,,,,,,,
Client 1 - A,7,184.26,185.85,370.11,38.0,taskA,1004.87,0.3887,0.2716,0.0,251.9,0.3784,0.2643,0.0,184.0,
Client 2 - A,7,175.01,195.1,370.11,39.15,taskA,,,,,,,,,,
Client 3 - A,7,155.5,214.59,370.09000000000003,45.0,taskA,,,,,,,,,,
Client 4 - A,7,150.5,219.61,370.11,49.15,taskA,,,,,,,,,,
