Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,50.68,0.0,0.0,13.69,,5,328,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,20.09,0.0,0.0,15.02,,5,217,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,17.85,0.0,0.0,45.53,,5,105,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,18.7,0.0,0.0,56.18,,3,92,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,63.05,0.0,0.0,30.67,103.02,3,259,16,CNN 16k,non-IID,FashionMNIST,0.33,0.8983,0.7761,0.2832,1.97,0.6733,0.6201,0.9898,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,17.19,0.05,402.59,7.89,,5,392,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,49.71,0.11,81.37,18.24,,5,215,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,53.75,0.05,87.07,13.87,,5,215,26,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,56.3,0.05,77.14,19.7,,3,208,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,46.1,0.05,224.56,17.37,434.35,3,241,39,CNN 16k,non-IID,FashionMNIST,0.73,0.6719,0.6751,1.2132,1.31,0.7462,0.7121,0.7712,"{ON,OFF,ON,OFF,OFF,ON}",0.0
Client 1,3,89.49,0.0,0.0,14.32,,5,280,41,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,52.49,0.0,0.0,22.87,,5,208,25,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,54.93,0.0,0.0,56.48,,5,153,28,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,51.73,0.0,0.0,29.26,,3,190,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,94.62,0.0,0.0,27.41,131.18,3,242,39,CNN 16k,non-IID,FashionMNIST,0.18,0.9353,0.8833,0.2007,1.15,0.7732,0.7399,0.6378,"{OFF,OFF,ON,OFF,OFF,OFF}",0.0
