Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)"
Client 1,1,37.86,0.0,0.0,16.07,,5,333,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,1,7.66,0.0,0.0,10.54,,5,170,32,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,1,9.27,0.0,0.0,13.51,,5,268,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,1,9.19,0.0,0.0,39.36,,5,97,67,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,1,45.86,0.0,0.0,15.53,72.8,5,386,33,CNN 16k,IID,CIFAR-10,1.12,0.6214,0.4021,1.2827,2.23,0.372,0.3239,2.2773,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,2,41.83,0.0,0.0,16.56,,5,329,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,2,12.17,0.0,0.0,11.41,,5,190,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,2,7.92,0.0,0.0,34.29,,5,133,30,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,2,13.64,0.0,0.0,35.0,,5,131,59,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,2,53.89,0.0,0.0,17.64,76.84,5,383,30,CNN 16k,IID,CIFAR-10,1.21,0.5683,0.52,1.4169,1.75,0.481,0.4572,1.9335,"{ON,OFF,ON,OFF,OFF,OFF}"
Client 1,3,54.85,0.0,0.0,16.72,,5,296,37,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,3,24.99,0.0,0.0,15.16,,5,192,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,3,29.93,0.0,0.0,36.19,,5,190,30,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,3,24.57,0.0,0.0,34.76,,5,136,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,3,66.14,0.0,0.0,15.74,90.34,5,341,29,CNN 16k,IID,CIFAR-10,0.96,0.6634,0.5553,1.23,1.78,0.4784,0.4484,1.8191,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,4,67.64,0.0,0.0,16.87,,5,292,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,4,35.0,0.0,0.0,17.51,,5,200,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,4,35.09,0.0,0.0,68.71,,5,140,30,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,4,34.27,0.0,0.0,17.32,,5,187,55,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,4,77.78,0.0,0.0,18.04,108.49,5,333,28,CNN 16k,IID,CIFAR-10,0.97,0.6603,0.5601,1.1818,1.68,0.4931,0.4626,1.7694,"{OFF,OFF,ON,OFF,OFF,ON}"
Client 1,5,85.64,0.0,0.0,17.19,,5,276,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,5,45.32,0.0,0.0,26.98,,5,202,27,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,5,47.65,0.0,0.0,77.24,,5,146,32,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,5,49.65,0.0,0.0,57.22,,5,150,56,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,5,97.09,0.0,0.0,18.19,130.0,5,308,28,CNN 16k,IID,CIFAR-10,0.99,0.6444,0.5849,1.2105,1.6,0.5129,0.4867,1.738,"{OFF,OFF,OFF,OFF,OFF,ON}"
