approach,run,round,F1,total_time,training_time,communication_time,agent_time,ap_list
Debate-based,r1,1,0.5981,119.88,7.480000000000001,16.887999999999998,75.37,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,2,0.7605,104.35,6.419999999999999,15.993333333333334,57.01,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,3,0.8238,108.97,6.996666666666666,15.716666666666669,62.34,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,4,0.8242,102.17,6.993333333333332,14.14,59.72,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,5,0.8225,75.22,9.903333333333332,10.143333333333333,43.2,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,6,0.8167,129.47000000000003,12.766666666666666,20.936666666666664,64.68,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,7,0.8107,105.33,8.603333333333333,15.146666666666667,58.14,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,8,0.809,97.88,9.643333333333333,15.670000000000002,47.39,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,9,0.8019,90.77,9.86,13.713333333333333,47.91,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,10,0.7896,41.61,11.719999999999999,12.886666666666665,0.0,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r10,1,0.5151,69.39999999999999,1.44,10.556000000000001,37.41,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,2,0.6613,90.62,1.8039999999999998,15.85,48.55,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,3,0.7843,68.68,1.5833333333333333,8.816666666666666,40.33,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,4,0.7918,90.08,1.7433333333333332,14.196666666666665,45.42,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,5,0.8097,87.13,2.0833333333333335,8.91,57.85,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,6,0.8133,88.56,2.6166666666666667,13.660000000000002,44.36,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,7,0.8133,103.13,2.6599999999999997,17.343333333333334,47.89,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,8,0.808,101.31,2.84,13.47,57.57,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,9,0.8013,75.53999999999999,3.3266666666666667,11.226666666666667,38.18,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,10,0.8026,54.21,3.2633333333333336,16.94333333333333,0.0,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,1,0.3882,87.77,1.294,14.204000000000002,41.29,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,2,0.5263,89.30000000000001,1.2999999999999998,11.403333333333334,52.95,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r2,3,0.5855,84.61,2.05,17.875999999999998,33.5,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,4,0.6184,69.02,1.8500000000000003,8.51,41.14,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r2,5,0.6254,102.7,1.9233333333333331,16.58666666666667,50.18,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,6,0.638,82.84,2.2133333333333334,8.58,54.11,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r2,7,0.6458,59.04,2.74,7.406666666666667,33.68,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,8,0.6689,90.62,3.016666666666667,14.136666666666665,44.83,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r2,9,0.6736,97.13999999999999,3.073333333333333,14.483333333333333,50.41,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,10,0.6917,38.74,3.313333333333334,11.610000000000001,0.0,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r3,1,0.4977,77.56,1.3159999999999998,11.536,47.07,"{OFF,OFF,OFF,OFF,OFF,OFF}"
