Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 3,6,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,6,2.93,0.0,0.00,2.84,5.77,3,16.75,59.60,CNN 16k,IID,CIFAR10,1.5191,0.0,0.0,0.0,2.2649,0.2112,0.1225,2.4580,client_registry|client_selector
Client 2,6,2.84,0.0,0.00,2.93,5.77,3,18.60,59.15,CNN 16k,Non-IID,CIFAR10,0.9673,0.0,0.0,0.0,2.2649,0.2112,0.1225,2.4580,client_registry|client_selector
Client 3,7,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,7,2.97,0.0,0.00,0.81,3.78,3,18.80,59.95,CNN 16k,IID,CIFAR10,1.5066,0.0,0.0,0.0,2.2640,0.1708,0.1104,2.4599,client_registry|client_selector
Client 2,7,2.98,0.0,0.00,0.80,3.78,3,20.00,59.95,CNN 16k,Non-IID,CIFAR10,0.9442,0.0,0.0,0.0,2.2640,0.1708,0.1104,2.4599,client_registry|client_selector
Client 3,8,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,8,2.95,0.0,0.00,0.84,3.79,3,26.20,59.40,CNN 16k,IID,CIFAR10,1.4831,0.0,0.0,0.0,2.2498,0.1885,0.1032,2.4495,client_registry|client_selector
Client 2,8,2.96,0.0,0.00,0.83,3.79,3,21.85,59.35,CNN 16k,Non-IID,CIFAR10,0.9387,0.0,0.0,0.0,2.2498,0.1885,0.1032,2.4495,client_registry|client_selector
Client 3,9,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 1,9,3.08,0.0,0.00,2.40,5.49,3,36.00,55.65,CNN 16k,IID,CIFAR10,1.4702,0.0,0.0,0.0,2.2368,0.2277,0.1385,2.4530,client_registry|client_selector
Client 2,9,2.94,0.0,0.00,2.55,5.49,3,26.20,55.60,CNN 16k,Non-IID,CIFAR10,0.9249,0.0,0.0,0.0,2.2368,0.2277,0.1385,2.4530,client_registry|client_selector
