Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,162,613.78,775.78,30,taskA,,,,,,,,1286.0
Client 2 - A,1,106,669.52,775.52,37,taskA,,,,,,,,1286.0
Client 3 - A,1,142,634.23,776.23,35,taskA,,,,,,,,1286.0
Client 4 - A,1,212,564.23,776.23,31,taskA,,,,,,,,1286.0
Client 5 - A,1,96,679.55,775.55,37,taskA,,,,,,,,1286.0
Client 6 - A,1,190,586.13,776.13,32,taskA,1478.0,0.24,0.09,834.0,0.15,0.07,212.0,1286.0
Client 7 - A,1,175,601.2,776.2,34,taskA,,,,,,,,1286.0
Client 8 - A,1,212,563.55,775.55,17,taskA,,,,,,,,1286.0
Client 1 - A,2,123,188.64,311.64,39,taskA,1459.0,0.24,0.09,837.0,0.15,0.07,159.0,311.0
Client 2 - A,2,87,224.57,311.57,45,taskA,,,,,,,,311.0
Client 3 - A,2,157,154.18,311.18,38,taskA,,,,,,,,311.0
Client 4 - A,2,159,152.31,311.31,31,taskA,,,,,,,,311.0
Client 5 - A,2,84,227.8,311.8,46,taskA,,,,,,,,311.0
Client 6 - A,2,146,165.71,311.71000000000004,38,taskA,,,,,,,,311.0
Client 7 - A,2,151,160.08,311.08000000000004,38,taskA,,,,,,,,311.0
Client 8 - A,2,133,178.83,311.83000000000004,49,taskA,,,,,,,,311.0
Client 1 - A,3,137,166.49,303.49,44,taskA,,,,,,,,303.0
Client 2 - A,3,103,199.63,302.63,52,taskA,,,,,,,,303.0
Client 3 - A,3,158,144.64,302.64,38,taskA,,,,,,,,303.0
Client 4 - A,3,165,138.47,303.47,43,taskA,,,,,,,,303.0
Client 5 - A,3,85,218.46,303.46000000000004,53,taskA,,,,,,,,303.0
Client 6 - A,3,154,149.17,303.16999999999996,38,taskA,1419.0,0.27,0.13,819.0,0.18,0.11,180.0,303.0
Client 7 - A,3,180,123.34,303.34000000000003,34,taskA,,,,,,,,303.0
Client 8 - A,3,171,132.39,303.39,38,taskA,,,,,,,,303.0
Client 1 - A,4,156,314.97,470.97,46,taskA,,,,,,,,471.0
Client 2 - A,4,121,349.89,470.89,55,taskA,,,,,,,,471.0
Client 3 - A,4,193,277.8,470.8,44,taskA,,,,,,,,471.0
Client 4 - A,4,214,256.65,470.65,30,taskA,,,,,,,,471.0
Client 5 - A,4,103,368.33,471.33,57,taskA,1386.0,0.28,0.15,811.0,0.19,0.12,214.0,471.0
Client 6 - A,4,188,283.45,471.45,41,taskA,,,,,,,,471.0
Client 7 - A,4,175,295.52,470.52,47,taskA,,,,,,,,471.0
Client 8 - A,4,180,290.67,470.67,35,taskA,,,,,,,,471.0
Client 1 - A,5,233,359.0,592.0,40,taskA,,,,,,,,592.0
Client 2 - A,5,195,397.13,592.13,49,taskA,,,,,,,,592.0
Client 3 - A,5,229,362.75,591.75,40,taskA,,,,,,,,592.0
Client 4 - A,5,331,261.28,592.28,44,taskA,,,,,,,,592.0
Client 5 - A,5,153,439.17,592.1700000000001,52,taskA,,,,,,,,592.0
Client 6 - A,5,300,292.1,592.1,37,taskA,1345.0,0.3,0.16,780.0,0.21,0.14,331.0,592.0
Client 7 - A,5,218,374.15,592.15,41,taskA,,,,,,,,592.0
Client 8 - A,5,266,325.9,591.9,29,taskA,,,,,,,,592.0
Client 1 - A,6,189,546.86,735.86,38,taskA,,,,,,,,736.0
Client 2 - A,6,129,607.4,736.4,49,taskA,,,,,,,,736.0
Client 3 - A,6,159,576.7,735.7,45,taskA,1356.0,0.3,0.15,784.0,0.19,0.12,260.0,736.0
Client 4 - A,6,260,476.13,736.13,33,taskA,,,,,,,,736.0
Client 5 - A,6,142,594.02,736.02,52,taskA,,,,,,,,736.0
Client 6 - A,6,232,504.04,736.04,37,taskA,,,,,,,,736.0
Client 7 - A,6,187,549.2,736.2,43,taskA,,,,,,,,736.0
Client 8 - A,6,209,527.55,736.55,33,taskA,,,,,,,,736.0
Client 1 - A,7,185,824.68,1009.68,32,taskA,,,,,,,,1009.0
Client 2 - A,7,122,887.4,1009.4,47,taskA,,,,,,,,1009.0
