Configuration,Adaptation,LLM,Repeat,Label,Status,Duration Seconds,Output Dir,ML Summary CSV,Rationale CSV
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,4,paper__rq2__voting_based__r04,ok,9395.6,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r04/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r04/performance/FLwithAP_adaptation_rationales.csv
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,5,paper__rq2__voting_based__r05,ok,37861.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r05,,
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,6,paper__rq2__voting_based__r06,ok,5606.2,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r06,,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r06/performance/FLwithAP_adaptation_rationales.csv
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,7,paper__rq2__voting_based__r07,ok,9651.8,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r07/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r07/performance/FLwithAP_adaptation_rationales.csv
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,8,paper__rq2__voting_based__r08,ok,9499.0,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r08/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp_100round/staging/paper__rq2__voting_based__r08/performance/FLwithAP_adaptation_rationales.csv
