Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)"
Client 1,1,4.31,0.12,17.54,1.7,,5,414,7,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,1,3.89,0.02,19.6,1.51,30.03,5,432,12,CNN 16k,non-IID,CIFAR-10,1.34,0.4847,0.3782,1.4782,3.47,0.3006,0.2178,2.8002,,"{OFF,OFF,OFF,OFF,OFF,ON}"
Client 1,2,4.21,0.12,18.87,1.92,,5,454,11,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,2,4.51,0.02,17.86,2.0,28.49,5,432,11,CNN 16k,non-IID,CIFAR-10,1.24,0.526,0.4151,1.3703,3.32,0.3339,0.249,2.6763,,"{OFF,OFF,OFF,OFF,OFF,ON}"
Client 1,3,4.14,0.12,18.57,2.09,,5,457,12,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,3,5.09,0.02,18.12,2.31,28.96,5,434,12,CNN 16k,non-IID,CIFAR-10,1.19,0.5376,0.4451,1.348,3.08,0.3579,0.2697,2.5984,,"{OFF,OFF,OFF,OFF,OFF,ON}"
Client 1,4,3.8,0.12,18.83,1.91,,5,431,9,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,4,5.15,0.02,19.05,1.82,29.68,5,414,10,CNN 16k,non-IID,CIFAR-10,1.16,0.5487,0.4464,1.3105,3.05,0.3628,0.2723,2.6274,,"{OFF,OFF,OFF,OFF,OFF,ON}"
Client 1,5,4.92,0.12,17.66,2.44,,5,438,11,CNN 16k,non-IID,CIFAR-10,,,,,,,,,,
Client 2,5,5.22,0.02,19.26,1.92,29.88,5,457,12,CNN 16k,non-IID,CIFAR-10,1.13,0.5575,0.4837,1.3384,2.86,0.3828,0.3063,2.4105,,"{OFF,OFF,OFF,OFF,OFF,ON}"
