Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)"
Client 1,1,3.49,0.0,0.0,2.54,,5,332,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,1,3.66,0.0,0.0,2.31,13.2,5,327,6,CNN 16k,IID,CIFAR-10,1.73,0.3637,0.3408,2.3477,1.73,0.3674,0.3432,2.3745,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,2,3.67,0.0,0.0,2.45,,5,334,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,2,3.66,0.0,0.0,2.45,11.57,5,334,6,CNN 16k,IID,CIFAR-10,1.61,0.4138,0.3978,2.1715,1.61,0.4087,0.3924,2.1861,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,3,3.74,0.0,0.0,2.44,,5,334,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,3,3.75,0.0,0.0,2.46,11.7,5,335,6,CNN 16k,IID,CIFAR-10,1.55,0.4389,0.4317,2.1086,1.56,0.4315,0.4239,2.1248,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,4,3.7,0.0,0.0,2.45,,5,335,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,4,3.67,0.0,0.0,2.45,11.61,5,335,6,CNN 16k,IID,CIFAR-10,1.5,0.4516,0.4396,2.0543,1.52,0.4456,0.4332,2.0753,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,5,3.83,0.0,0.0,2.46,,5,336,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,5,3.82,0.0,0.0,2.45,11.79,5,336,6,CNN 16k,IID,CIFAR-10,1.47,0.4633,0.4501,2.052,1.49,0.4509,0.4375,2.0975,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,6,3.67,0.0,0.0,2.44,,5,335,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,6,3.67,0.0,0.0,2.44,11.59,5,335,6,CNN 16k,IID,CIFAR-10,1.42,0.4798,0.4734,1.9009,1.46,0.4694,0.462,1.9494,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
