Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)"
Client 1,1,3.49,0.0,0.0,2.54,,5,332,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,1,3.66,0.0,0.0,2.31,13.2,5,327,6,CNN 16k,IID,CIFAR-10,1.73,0.3637,0.3408,2.3477,1.73,0.3674,0.3432,2.3745,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,2,3.67,0.0,0.0,2.45,,5,334,6,CNN 16k,IID,CIFAR-10,,,,,,,,,,
Client 2,2,3.66,0.0,0.0,2.45,11.57,5,334,6,CNN 16k,IID,CIFAR-10,1.61,0.4138,0.3978,2.1715,1.61,0.4087,0.3924,2.1861,,"{OFF,OFF,OFF,OFF,OFF,OFF}"
