Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),Aggregation Baseline,Next Aggregation Baseline,Aggregation LLM Time (s),Aggregation Rationale,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,0.02,0.05,0.0,0.01,,2,113,5,CNN 16k,IID,FashionMNIST,,,,,,,,,,,,,,,0.0
Client 2,1,0.02,0.06,0.0,0.01,3.44,2,113,5,CNN 16k,IID,FashionMNIST,2.31,0.1083,0.0193,3.7083,2.31,0.1133,0.0204,3.91,,Krum,Krum,0.00,Dynamic aggregation disabled.,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
