Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,3.12,0.39,0.0,0.76,,5,343,4,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.49,0.3,0.0,0.27,,5,201,5,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.45,0.29,0.0,37.36,,5,7,3,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.5,0.14,0.0,31.32,,3,7,3,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,3.48,0.25,0.0,0.67,41.82,3,225,4,MLP,IID,AG_NEWS,0.22,0.926,0.6353,0.094,2.6,0.4668,0.3406,0.9459,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,2.95,0.39,0.0,0.54,,5,352,3,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,0.99,0.2,0.0,0.38,,5,173,3,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,0.98,0.29,0.0,39.39,,5,8,2,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,1.05,0.05,0.0,40.37,,3,7,2,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,3.24,0.25,0.0,0.51,42.37,3,228,3,MLP,IID,AG_NEWS,0.19,0.9438,0.75,0.0819,2.65,0.5441,0.4518,0.8515,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,3.92,0.39,0.0,0.59,,5,278,3,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,1.92,0.24,0.0,0.59,,5,136,3,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.97,0.29,0.0,45.58,,5,9,1,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,2.06,0.09,0.0,26.56,,3,13,3,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,4.18,0.25,0.0,0.55,48.45,3,190,3,MLP,IID,AG_NEWS,0.16,0.9449,0.7596,0.082,2.7,0.5516,0.4667,0.8488,,"{OFF,OFF,OFF,OFF,OFF,OFF}",
