approach,run,round,F1,total_time,training_time,communication_time,agent_time,ap_list
Debate-based,r1,1,0.7322,90.94,30.242,20.778,78.64,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,2,0.767,115.78,53.029999999999994,33.3,31.32,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,3,0.7545,81.6,34.016666666666666,22.376666666666665,34.88,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,4,0.7584,100.15,70.07333333333334,16.02,27.7,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,5,0.7988,162.18,94.71599999999998,32.146,30.06,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,6,0.82,269.58,29.186666666666667,21.820000000000004,37.59,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,7,0.7999,241.29,42.50333333333333,14.219999999999999,33.1,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r1,8,0.8159,141.26,77.48333333333333,32.81666666666667,28.51,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,9,0.824,222.53,159.164,36.628,33.26,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r1,10,0.7982,228.85,43.74666666666667,24.896666666666665,0.0,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r10,1,0.7024,97.74,33.112,26.625999999999998,34.22,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,2,0.7091,155.49,13.353333333333333,16.676666666666666,28.6,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r10,3,0.7865,142.35,70.566,25.364,26.96,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,4,0.8108,149.08,82.324,40.928,31.35,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,5,0.8143,163.24,103.476,27.086000000000002,26.12,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,6,0.7961,234.16,27.586666666666662,20.75,33.29,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r10,7,0.8404,215.72,141.546,41.808,32.16,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,8,0.8123,148.87,80.36333333333333,33.28333333333333,29.42,"{ON,OFF,ON,OFF,OFF,OFF}"
Debate-based,r10,9,0.8405,229.86,163.14600000000002,44.124,30.51,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r10,10,0.8262,246.36,171.294,44.788,0.0,"{OFF,OFF,ON,OFF,OFF,OFF}"
Debate-based,r2,1,0.7075,103.08,35.36,30.874000000000002,44.12,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,2,0.787,124.19,54.45,22.244,29.83,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,3,0.7556,119.77,24.633333333333336,22.590000000000003,31.49,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r2,4,0.785,99.19,54.28,23.406666666666666,43.59,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,5,0.7602,106.76,69.16,21.99,39.71,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,6,0.7991,129.48,65.86666666666667,31.2,38.56,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,7,0.8079,213.1,128.602,45.06,143.18,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,8,0.7935,184.08,42.083333333333336,20.043333333333333,38.0,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r2,9,0.829,197.7,138.328,34.698,27.99,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r2,10,0.832,235.48,158.19,43.248000000000005,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,1,0.7158,114.56,37.878,23.532000000000004,46.22,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,2,0.6934,240.12,17.069999999999997,9.63,31.72,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r3,3,0.791,129.32,64.18199999999999,27.4,37.53,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,4,0.794,151.5,84.804,26.748,30.53,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,5,0.7756,169.0,102.54400000000001,38.624,33.98,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,6,0.7903,133.18,77.42333333333335,31.12,38.23,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,7,0.7972,135.09,69.21666666666667,32.37,37.14,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,8,0.795,407.96,35.98,23.723333333333333,45.72,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r3,9,0.8377,231.29,164.0,42.08,26.45,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r3,10,0.8194,268.99,167.45999999999998,50.72,0.0,"{OFF,OFF,ON,OFF,OFF,OFF}"
Debate-based,r4,1,0.6697,97.79,31.810000000000002,26.368000000000002,38.11,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r4,2,0.7518,112.32,51.71600000000001,25.992,30.28,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r4,3,0.7881,134.55,69.44800000000001,29.936,34.81,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r4,4,0.8063,386.39,63.646,37.468,43.13,"{OFF,OFF,ON,OFF,OFF,ON}"
Debate-based,r4,5,0.7715,301.74,24.070000000000004,16.913333333333334,35.97,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r4,6,0.8169,185.49,120.526,39.948,26.49,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r4,7,0.8328,214.52,139.292,47.008,39.79,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r4,8,0.7902,210.55,42.98666666666667,23.569999999999997,36.43,"{ON,OFF,ON,OFF,OFF,ON}"
Debate-based,r4,9,0.8054,245.25,50.18333333333334,13.776666666666666,26.96,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r4,10,0.8221,260.16,172.08,53.28000000000001,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,1,0.7078,116.04,35.908,27.597999999999995,38.01,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,2,0.7029,123.87,12.936666666666667,15.583333333333334,38.42,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r5,3,0.7484,151.56,70.812,28.756000000000007,30.87,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,4,0.7996,155.26,80.504,35.10600000000001,29.61,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,5,0.8164,181.62,107.04,33.852,56.19,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,6,0.8039,195.37,125.998,32.07,29.2,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,7,0.8203,206.41,148.796,36.440000000000005,46.47,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,8,0.7997,429.81,44.67333333333334,12.413333333333334,27.86,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r5,9,0.8059,144.41,112.35333333333334,21.366666666666664,114.7,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r5,10,0.816,143.04,105.73333333333335,26.123333333333335,0.0,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,1,0.6734,103.4,35.048,27.656,39.08,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,2,0.7724,110.66,50.717999999999996,30.190000000000005,35.77,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,3,0.7951,134.28,69.98599999999999,34.946000000000005,34.76,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,4,0.8011,168.77,97.582,33.84,40.05,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,5,0.7616,122.47,65.78999999999999,27.320000000000004,30.61,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,6,0.774,132.41,82.61333333333333,26.076666666666668,32.78,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,7,0.8136,461.49,97.196,42.306,41.39,"{OFF,OFF,ON,OFF,OFF,ON}"
Debate-based,r6,8,0.8148,221.22,160.76,42.248000000000005,48.66,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,9,0.8127,162.28,107.92666666666666,27.939999999999998,32.09,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r6,10,0.8192,266.34,173.94400000000002,49.404,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r7,1,0.7263,114.55,35.782,30.706,41.82,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r7,2,0.7008,146.88,13.476666666666667,11.79,43.16,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r7,3,0.7873,291.14,61.513999999999996,32.128,35.47,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r7,4,0.7967,101.81,47.51333333333334,25.84,47.34,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r7,5,0.8221,176.67,101.074,37.104,31.93,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r7,6,0.8228,490.43,96.002,36.176,43.58,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r7,7,0.8159,491.92,72.252,28.764,138.09,"{OFF,OFF,OFF,OFF,OFF,ON}"
Debate-based,r7,8,0.8378,213.16,149.23600000000002,39.227999999999994,42.01,"{OFF,OFF,ON,OFF,OFF,OFF}"
Debate-based,r7,9,0.8232,227.55,164.52599999999998,48.354,115.14,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r7,10,0.8476,261.46,178.51,51.858000000000004,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r8,1,0.7071,100.35,32.184,27.594,40.32,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r8,2,0.779,545.04,46.826,36.14,41.8,"{OFF,OFF,ON,OFF,OFF,ON}"
Debate-based,r8,3,0.7889,288.35,55.48199999999999,31.492,25.36,"{OFF,OFF,ON,OFF,OFF,ON}"
Debate-based,r8,4,0.7294,163.05,21.46666666666667,26.69666666666667,37.03,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r8,5,0.807,112.4,71.38,21.99,28.57,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r8,6,0.8081,371.64,70.22800000000001,28.946000000000005,56.79,"{ON,OFF,OFF,OFF,OFF,ON}"
Debate-based,r8,7,0.8067,133.25,84.84333333333335,29.756666666666664,31.81,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r8,8,0.7932,159.34,109.56,29.646666666666665,89.68,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r8,9,0.8396,244.15,154.578,44.302,127.62,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r8,10,0.8404,239.95,172.206,45.952,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r9,1,0.7152,95.88,32.736000000000004,19.086000000000002,36.55,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r9,2,0.7816,129.06,53.303999999999995,33.358,32.0,"{ON,OFF,OFF,OFF,OFF,OFF}"
Debate-based,r9,3,0.7968,140.83,75.386,37.471999999999994,65.91,"{ON,OFF,OFF,OFF,OFF,OFF}"
