Configuration,Display Name,Repeat,Status,Stage Run Dir,Exported CSV,Exported Rationale CSV
never,Never,1,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r01,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r1.csv,
never,Never,2,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r02,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r2.csv,
never,Never,3,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r03,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r3.csv,
never,Never,4,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r04,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r4.csv,
never,Never,5,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r05,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r5.csv,
never,Never,6,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r06,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r6.csv,
never,Never,7,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r07,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r7.csv,
never,Never,8,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r08,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r8.csv,
never,Never,9,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r09,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r9.csv,
never,Never,10,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__never__r10,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/never/r10.csv,
random,Random,1,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r01,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r1.csv,
random,Random,2,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r02,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r2.csv,
random,Random,3,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r03,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r3.csv,
random,Random,4,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r04,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r4.csv,
random,Random,5,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r05,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r5.csv,
random,Random,6,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r06,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r6.csv,
random,Random,7,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r07,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r7.csv,
random,Random,8,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r08,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r8.csv,
random,Random,9,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r09,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r9.csv,
random,Random,10,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__random__r10,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/random/r10.csv,
expert_driven,Expert-Driven,1,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r01,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r1.csv,
expert_driven,Expert-Driven,2,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r02,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r2.csv,
expert_driven,Expert-Driven,3,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r03,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r3.csv,
expert_driven,Expert-Driven,4,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r04,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r4.csv,
expert_driven,Expert-Driven,5,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r05,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r5.csv,
expert_driven,Expert-Driven,6,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r06,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r6.csv,
expert_driven,Expert-Driven,7,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r07,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r7.csv,
expert_driven,Expert-Driven,8,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r08,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r8.csv,
expert_driven,Expert-Driven,9,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r09,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r9.csv,
expert_driven,Expert-Driven,10,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__expert_driven__r10,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/expert-driven/r10.csv,
voting_based,Voting-based,1,failed(1),/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__voting_based__r01,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r1.csv,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r1_rationales.csv
voting_based,Voting-based,1,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__voting_based__r01,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r1.csv,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r1_rationales.csv
voting_based,Voting-based,2,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__voting_based__r02,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r2.csv,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r2_rationales.csv
voting_based,Voting-based,3,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__voting_based__r03,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r3.csv,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/voting-based/r3_rationales.csv
role_based,Role-based,1,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__role_based__r01,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/role-based/r1.csv,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/role-based/r1_rationales.csv
debate_based,Debate-based,1,ok,/Users/ivan/Desktop/AP4Fed/paper_results_docker_100r/local__rq2__debate_based__r01,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/debate-based/r1.csv,/Users/ivan/Desktop/AP4Fed/Experiments_100r_docker/debate-based/r1_rationales.csv
