approach,run,round,F1,total_time,training_time,communication_time,agent_time,ap_list
Never,r10,5,0.7172,53.51,4.678,19.224000000000004,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r10,6,0.7308,34.03,6.3100000000000005,11.14,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r10,7,0.7339,62.09,7.162000000000001,22.846,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r10,8,0.7366,41.03,6.914,14.169999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r10,9,0.7408,53.93,9.378,16.016,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r10,10,0.7503,54.1,7.903999999999999,17.886,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,1,0.4037,38.89,2.872,12.936000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,2,0.4801,37.85,3.75,12.936000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,3,0.5237,54.07,3.8220000000000005,19.744,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,4,0.5751,38.95,5.032,12.916,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,5,0.6023,55.37,5.718000000000001,19.256,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,6,0.6229,54.6,5.914,19.204,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,7,0.6362,54.83,6.675999999999999,19.508,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,8,0.6486,35.29,7.192,12.222,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,9,0.6624,57.96,8.749999999999998,17.218,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r2,10,0.6889,46.08,8.81,14.158000000000001,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,1,0.3941,44.51,2.91,17.006,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,2,0.5377,50.23,3.688,20.247999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,3,0.5977,52.84,4.0,15.530000000000001,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,4,0.615,47.77,4.8420000000000005,15.195999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,5,0.6318,40.11,4.880000000000001,12.559999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,6,0.6372,37.98,6.032000000000001,12.431999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,7,0.6504,48.51,6.156000000000001,14.574000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,8,0.652,61.79,8.39,20.052,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,9,0.6584,59.41,9.01,16.576,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r3,10,0.66,47.77,9.202,15.251999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,1,0.4954,37.63,2.802,12.627999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,2,0.5986,51.87,3.974,16.186,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,3,0.6861,48.43,4.088,17.166,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,4,0.7121,44.08,5.069999999999999,16.662,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,5,0.7269,41.15,6.056,14.808000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,6,0.7382,50.52,5.736,18.985999999999997,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,7,0.7471,53.8,5.502000000000001,17.357999999999997,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,8,0.7593,46.99,7.4879999999999995,16.214000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,9,0.7604,47.91,8.355999999999998,14.978,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r4,10,0.7729,61.94,8.744,21.276,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,1,0.4821,34.02,3.09,12.696000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,2,0.5472,43.5,3.6719999999999997,14.475999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,3,0.5969,47.4,4.98,15.618,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,4,0.6183,44.51,4.178,17.08,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,5,0.6412,46.65,5.618,15.02,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,6,0.6538,50.98,5.08,17.32,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,7,0.673,36.29,5.296,11.654,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,8,0.6781,45.41,5.984,13.404000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,9,0.6707,56.36,7.8,18.47,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r5,10,0.6699,49.45,8.534,15.097999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,1,0.617,37.61,2.5940000000000003,13.068000000000001,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,2,0.6992,41.17,3.482,14.25,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,3,0.7402,41.9,3.9440000000000004,13.704000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,4,0.7547,37.79,4.382,12.98,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,5,0.7612,51.37,5.99,17.684000000000005,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,6,0.7676,45.4,6.162,13.793999999999997,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,7,0.7749,37.36,7.089999999999999,12.771999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,8,0.7792,44.17,7.388,13.598000000000003,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,9,0.7834,40.03,7.55,14.573999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r6,10,0.7877,41.01,8.732,14.134,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,1,0.3377,51.62,2.7019999999999995,20.154,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,2,0.4865,31.08,3.6480000000000006,12.492,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,3,0.5994,51.18,3.8899999999999997,16.624000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,4,0.6511,47.48,5.408,16.27,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,5,0.687,33.81,6.08,11.703999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,6,0.6957,49.32,5.6659999999999995,17.291999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,7,0.721,37.87,5.346,14.381999999999996,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,8,0.7279,57.35,7.053999999999999,15.76,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,9,0.7389,36.17,7.054,11.518,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r7,10,0.7412,61.09,8.309999999999999,19.65,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,1,0.3931,38.25,3.0260000000000002,13.862,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,2,0.4818,53.15,3.508,19.96,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,3,0.5526,32.81,4.002000000000001,11.886000000000001,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,4,0.6332,45.52,4.37,13.588,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,5,0.6673,51.33,5.2379999999999995,15.826000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,6,0.6918,32.96,5.614,11.203999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,7,0.7066,39.62,6.402000000000001,13.575999999999999,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,8,0.7243,55.34,6.56,19.932,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,9,0.7247,52.22,9.71,16.130000000000003,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r8,10,0.7373,61.98,7.978,18.755999999999997,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,1,0.5974,50.71,3.18,20.102,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,2,0.6975,52.81,3.9459999999999993,19.59,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,3,0.7154,32.25,4.44,11.736,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,4,0.7342,45.94,4.606,15.9,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,5,0.7405,49.29,5.1339999999999995,14.645999999999997,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,6,0.7532,52.01,5.29,16.419999999999998,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,7,0.756,51.29,6.052,17.720000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,8,0.7568,59.47,6.456,19.61,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,9,0.7615,63.44,6.5,17.48,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Never,r9,10,0.7666,43.87,8.532,14.432000000000002,0.0,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Random,r1,1,0.4638,50.7,5.654000000000001,20.259999999999998,0.21,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Random,r1,2,0.6598,29.76,4.362,11.408,0.22,"{OFF,OFF,OFF,OFF,OFF,ON}"
Random,r1,3,0.7108,48.66,5.726,17.669999999999998,0.0,"{ON,OFF,ON,OFF,OFF,ON}"
Random,r1,4,0.723,30.67,5.926,11.963999999999999,0.2,"{ON,OFF,ON,OFF,OFF,OFF}"
Random,r1,5,0.7324,45.06,8.05,17.066,0.0,"{OFF,OFF,OFF,OFF,OFF,ON}"
Random,r1,6,0.7472,54.96,7.118,20.114,0.22,"{OFF,OFF,ON,OFF,OFF,ON}"
Random,r1,7,0.7505,61.72,8.35,20.15,0.23,"{OFF,OFF,ON,OFF,OFF,OFF}"
Random,r1,8,0.7569,37.31,8.059999999999999,12.081999999999999,0.0,"{OFF,OFF,ON,OFF,OFF,OFF}"
Random,r1,9,0.7541,54.76,10.882000000000001,14.898,0.23,"{OFF,OFF,OFF,OFF,OFF,OFF}"
