Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,5.07,0.22,0.0,1.77,,5,391,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.53,0.21,0.0,0.96,,5,209,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.69,0.28,0.0,36.66,,5,19,21,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,1.26,0.12,0.0,25.61,,3,30,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,7.58,0.27,0.0,4.31,38.25,3,282,22,MLP,IID,AG_NEWS,0.28,0.9118,0.605,0.1193,1.66,0.5102,0.3931,0.9994,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,5.84,0.22,0.0,1.72,,5,387,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,1.72,0.14,0.0,1.47,,5,219,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,1.25,0.28,0.0,50.83,,5,10,25,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,1.76,0.15,0.0,42.17,,3,18,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,6.97,0.27,0.0,3.61,53.15,3,280,25,MLP,IID,AG_NEWS,0.16,0.9522,0.7168,0.0652,1.38,0.5767,0.4818,0.9223,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,6.12,0.22,0.0,1.7,,5,353,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,2.48,0.09,0.0,1.74,,5,230,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,2.36,0.26,0.0,23.07,,5,33,29,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,2.26,0.12,0.0,29.42,,3,28,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,6.79,0.27,0.0,3.5,32.81,3,266,30,MLP,IID,AG_NEWS,0.14,0.9547,0.7965,0.0607,1.19,0.626,0.5526,0.8365,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,4,6.54,0.22,0.0,1.79,,5,361,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,2.76,0.11,0.0,1.27,,5,221,27,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,3.45,0.26,0.0,41.0,,5,28,30,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,4,1.78,0.09,0.0,20.67,,3,27,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,4,7.32,0.27,0.0,3.21,45.52,3,274,30,MLP,IID,AG_NEWS,0.12,0.9604,0.8527,0.0521,1.06,0.6782,0.6332,0.7241,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,5,6.68,0.22,0.0,1.68,,5,289,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,5,4.04,0.14,0.0,1.86,,5,214,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,5,3.79,0.29,0.0,26.72,,5,42,31,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,5,4.68,0.09,0.0,45.59,,3,37,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,5,7.0,0.27,0.0,3.28,51.33,3,251,29,MLP,IID,AG_NEWS,0.11,0.9643,0.8704,0.0448,0.99,0.7042,0.6673,0.6608,,"{OFF,OFF,OFF,OFF,OFF,OFF}",
