csv_file,configuration,repeat,total_duration_seconds,final_val_accuracy,max_val_accuracy_reached_in_run
r1.csv,expert_driven_original,1,551.9,0.8106,0.8106
r2.csv,expert_driven_original,2,486.4,0.8123,0.8123
r3.csv,expert_driven_original,3,490.1,0.8184,0.8184
r4.csv,expert_driven_original,4,528.2,0.6577,0.661
r5.csv,expert_driven_original,5,488.4,0.8267,0.8267
r6.csv,expert_driven_original,6,501.2,0.7914,0.7914
r7.csv,expert_driven_original,7,508.5,0.8163,0.8163
r8.csv,expert_driven_original,8,497.8,0.7606,0.7635
r9.csv,expert_driven_original,9,531.5,0.7638,0.7652
r10.csv,expert_driven_original,10,530.5,0.7556,0.7556
r11_delay50.csv,expert_driven_delay50,11,570.6,0.8245,0.8245
r12_delay50.csv,expert_driven_delay50,12,570.5,0.7877,0.7877
r13_delay50.csv,expert_driven_delay50,13,569.7,0.8156,0.8156
r14_delay50.csv,expert_driven_delay50,14,571.2,0.7166,0.7166
r15_delay50.csv,expert_driven_delay50,15,568.6,0.8076,0.8076
r16_delay50.csv,expert_driven_delay50,16,570.6,0.8082,0.8082
r17_delay50.csv,expert_driven_delay50,17,571.5,0.8081,0.8081
r18_delay50.csv,expert_driven_delay50,18,570.7,0.8026,0.8026
r19_delay50.csv,expert_driven_delay50,19,569.4,0.7981,0.7981
r20_delay50.csv,expert_driven_delay50,20,570.9,0.8024,0.8024
