Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,41.14,0.0,0.0,14.41,,5,326,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,17.48,0.0,0.0,8.54,,5,194,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,13.07,0.0,0.0,47.82,,5,149,20,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,15.3,0.0,0.0,31.58,,3,117,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,63.48,0.0,0.0,29.42,95.57,3,279,19,CNN 16k,IID,FashionMNIST,0.39,0.8739,0.8044,0.3737,1.27,0.7453,0.6982,0.7248,"{OFF,OFF,OFF,OFF,OFF,OFF}",8.68
Client 1,2,42.56,0.0,0.0,13.23,,5,374,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,20.23,0.0,0.0,9.47,,5,294,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,26.67,0.0,0.0,37.69,67.17,5,234,20,CNN 16k,IID,FashionMNIST,0.28,0.8947,0.8549,0.3143,1.13,0.7535,0.7287,0.8807,"{ON,OFF,OFF,OFF,OFF,OFF}",3.83
Client 1,3,43.9,0.0,0.0,14.16,,5,372,19,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,28.69,0.0,0.0,7.97,,5,311,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,31.39,0.0,0.0,59.6,93.89,5,181,20,CNN 16k,IID,FashionMNIST,0.19,0.9314,0.8804,0.1704,0.87,0.8084,0.7797,0.589,"{ON,OFF,OFF,OFF,OFF,OFF}",3.97
Client 1,4,83.53,0.0,0.0,11.8,,5,367,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,51.66,0.0,0.0,22.81,,5,332,20,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,81.33,0.0,0.0,53.85,138.28,5,252,20,CNN 16k,IID,FashionMNIST,0.21,0.9254,0.8837,0.1932,0.89,0.7844,0.7537,0.6502,"{ON,OFF,OFF,OFF,OFF,OFF}",4.04
Client 1,5,15.47,0.05,217.41,8.69,,5,308,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,78.24,0.05,123.24,8.59,,5,313,35,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,72.12,0.0,139.46,9.81,249.66,5,332,41,CNN 16k,IID,FashionMNIST,0.52,0.765,0.7553,1.056,0.95,0.7925,0.7665,0.6724,"{ON,OFF,OFF,OFF,OFF,ON}",4.44
Client 1,6,92.41,0.13,0.0,15.42,,5,364,41,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,60.6,0.28,0.0,26.04,,5,333,36,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,92.17,0.02,0.0,55.84,153.0,5,269,40,CNN 16k,IID,FashionMNIST,0.22,0.9166,0.8939,0.2471,0.79,0.8019,0.7779,0.6173,"{ON,OFF,OFF,OFF,OFF,ON}",4.29
Client 1,7,92.63,0.1,0.0,14.35,,5,362,42,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,81.42,0.1,0.0,14.55,,5,342,36,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,79.69,0.02,0.0,35.46,120.38,5,318,41,CNN 16k,IID,FashionMNIST,0.19,0.9315,0.8993,0.2307,0.73,0.8092,0.7823,0.5473,"{ON,OFF,OFF,OFF,OFF,ON}",5.96
Client 1,8,103.81,0.11,0.0,16.42,,5,367,39,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,78.46,0.06,0.0,22.67,,5,340,36,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,81.86,0.0,0.0,61.28,148.66,5,280,41,CNN 16k,IID,FashionMNIST,0.21,0.9205,0.9178,0.2891,0.71,0.8346,0.8108,0.5124,"{ON,OFF,OFF,OFF,OFF,ON}",4.7
Client 1,9,116.67,0.3,0.0,29.07,,5,353,41,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,124.54,0.13,0.0,19.57,,5,344,37,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,138.77,0.0,0.0,60.23,204.92,5,292,41,CNN 16k,IID,FashionMNIST,0.18,0.9343,0.9108,0.1801,0.86,0.8097,0.7886,0.7056,"{ON,OFF,OFF,OFF,OFF,ON}",4.74
Client 1,10,109.98,0.16,0.0,23.12,,5,355,41,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,120.77,0.15,0.0,18.46,,5,353,36,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,111.21,0.0,0.0,74.41,191.95,5,271,40,CNN 16k,IID,FashionMNIST,0.18,0.935,0.9057,0.2153,0.5,0.8402,0.8308,0.5027,"{ON,OFF,OFF,OFF,OFF,ON}",4.74
