Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,45.02,0.0,0.0,13.74,,5,317,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,16.94,0.0,0.0,12.37,,5,192,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,14.87,0.0,0.0,39.74,,5,181,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,25.01,0.0,0.0,58.34,,3,98,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,65.03,0.0,0.0,35.22,102.91,3,276,17,CNN 16k,IID,FashionMNIST,0.38,0.8809,0.7956,0.3564,1.37,0.7251,0.6843,0.8025,"{OFF,OFF,OFF,OFF,OFF,OFF}",8.45
Client 1,2,33.29,0.0,0.0,13.32,,5,377,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,16.14,0.0,0.0,6.58,,5,285,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,21.77,0.0,0.0,14.83,57.43,5,313,16,CNN 16k,IID,FashionMNIST,0.24,0.9151,0.8647,0.271,0.92,0.7639,0.7285,0.7076,"{ON,OFF,OFF,OFF,OFF,OFF}",3.81
Client 1,3,53.44,0.0,0.0,13.61,,5,369,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,35.36,0.0,0.0,9.07,,5,313,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,46.21,0.0,0.0,39.48,88.7,5,245,17,CNN 16k,IID,FashionMNIST,0.24,0.914,0.899,0.2596,1.0,0.7998,0.7766,0.6253,"{ON,OFF,OFF,OFF,OFF,OFF}",3.99
Client 1,4,72.85,0.0,0.0,14.2,,5,372,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,63.5,0.0,0.0,6.75,,5,340,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,59.87,0.0,0.0,39.9,102.73,5,267,17,CNN 16k,IID,FashionMNIST,0.16,0.9458,0.8779,0.181,0.87,0.7848,0.753,0.6962,"{ON,OFF,OFF,OFF,OFF,OFF}",4.12
Client 1,5,60.25,0.0,0.0,11.93,,5,360,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,41.38,0.0,0.0,13.21,,5,317,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,50.1,0.0,0.0,48.68,102.11,5,245,17,CNN 16k,IID,FashionMNIST,0.17,0.9368,0.8934,0.2016,0.87,0.7913,0.7644,0.6724,"{ON,OFF,OFF,OFF,OFF,OFF}",7.74
Client 1,6,12.29,0.05,392.03,6.21,,5,406,53,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,111.78,0.05,59.11,12.38,,5,299,31,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,9.38,0.0,232.85,9.13,417.86,5,357,41,CNN 16k,IID,FashionMNIST,0.54,0.7716,0.7814,0.9656,0.86,0.8024,0.78,0.6021,"{ON,OFF,OFF,OFF,OFF,ON}",9.5
Client 1,7,148.83,0.19,0.0,15.92,,5,269,52,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,111.41,0.2,0.0,31.08,,5,238,28,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,124.27,0.02,0.0,44.66,,5,235,40,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,7,38.38,0.52,0.0,45.61,,3,154,29,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,7,147.18,0.0,0.0,28.27,180.55,3,259,29,CNN 16k,IID,FashionMNIST,0.19,0.9301,0.8944,0.2196,0.69,0.8171,0.8045,0.596,"{ON,OFF,OFF,OFF,OFF,ON}",4.39
Client 1,8,91.69,0.32,0.0,17.45,,5,354,51,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,74.26,0.2,0.0,24.13,,5,334,30,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,98.6,0.0,0.0,29.1,133.48,5,336,40,CNN 16k,IID,FashionMNIST,0.17,0.94,0.8802,0.1856,0.67,0.7938,0.791,0.6156,"{ON,OFF,OFF,OFF,OFF,ON}",4.7
Client 1,9,107.59,0.12,0.0,19.0,,5,357,51,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,98.52,0.08,0.0,19.17,,5,341,27,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,101.97,0.0,0.0,34.38,142.56,5,336,41,CNN 16k,IID,FashionMNIST,0.17,0.9377,0.9213,0.179,0.69,0.8355,0.8087,0.503,"{ON,OFF,OFF,OFF,OFF,ON}",4.67
Client 1,10,111.28,0.14,0.0,17.69,,5,367,51,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,86.57,0.07,0.0,26.06,,5,342,30,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,90.35,0.0,0.0,34.54,141.56,5,344,41,CNN 16k,IID,FashionMNIST,0.22,0.9163,0.9036,0.2794,0.38,0.8674,0.8701,0.4386,"{ON,OFF,OFF,OFF,OFF,ON}",4.67
