Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,45.2,0.0,0.0,14.11,,5,324,16,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,1,18.68,0.0,0.0,10.86,,5,200,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,1,16.39,0.0,0.0,55.01,,5,125,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,1,17.58,0.0,0.0,24.23,,3,151,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,1,65.64,0.0,0.0,30.19,98.28,3,278,16,CNN 16k,IID,FashionMNIST,0.35,0.8934,0.8119,0.3303,1.25,0.7473,0.7146,0.7586,"{OFF,OFF,OFF,OFF,OFF,OFF}",48.18
Client 1,2,64.5,0.0,0.0,14.38,,5,298,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,2,36.56,0.0,0.0,13.92,,5,210,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,2,33.01,0.0,0.0,31.48,,5,214,16,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,2,34.41,0.0,0.0,37.56,,3,140,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,2,82.97,0.0,0.0,30.78,116.37,3,266,17,CNN 16k,IID,FashionMNIST,0.31,0.8881,0.8561,0.3837,0.59,0.7914,0.7728,0.6288,"{ON,OFF,OFF,OFF,OFF,OFF}",31.73
Client 1,3,88.57,0.0,0.0,14.43,,5,273,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,3,56.39,0.0,0.0,19.19,,5,202,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,3,56.53,0.0,0.0,48.07,,5,198,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,3,57.3,0.0,0.0,69.74,,3,134,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,3,106.33,0.0,0.0,30.79,140.76,3,255,17,CNN 16k,IID,FashionMNIST,0.23,0.9158,0.898,0.2585,0.7,0.8271,0.8082,0.543,"{OFF,OFF,OFF,OFF,OFF,OFF}",27.33
Client 1,4,117.82,0.0,0.0,14.37,,5,261,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,4,83.8,0.0,0.0,24.51,,5,215,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,4,77.21,0.0,0.0,65.26,,5,186,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,4,75.77,0.0,0.0,27.55,,3,207,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,4,129.28,0.0,0.0,27.57,159.47,3,246,17,CNN 16k,IID,FashionMNIST,0.25,0.9102,0.8864,0.2963,0.64,0.8246,0.8066,0.5387,"{ON,OFF,OFF,OFF,OFF,OFF}",32.24
Client 1,5,131.5,0.0,0.0,14.5,,5,249,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,5,97.95,0.0,0.0,25.67,,5,209,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,5,94.61,0.0,0.0,84.63,,5,172,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,5,92.75,0.0,0.0,73.05,,3,162,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,5,143.79,0.0,0.0,27.9,183.08,3,242,17,CNN 16k,IID,FashionMNIST,0.25,0.9055,0.8867,0.3062,0.61,0.8196,0.8059,0.5532,"{ON,OFF,OFF,OFF,OFF,OFF}",27.61
Client 1,6,149.97,0.0,0.0,14.99,,5,240,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,6,113.32,0.0,0.0,32.16,,5,210,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,6,106.91,0.0,0.0,87.34,,5,186,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,6,114.88,0.0,0.0,39.34,,3,206,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,6,163.45,0.0,0.0,27.51,198.36,3,237,17,CNN 16k,IID,FashionMNIST,0.26,0.9002,0.8921,0.3376,0.63,0.829,0.8249,0.5741,"{OFF,OFF,OFF,OFF,OFF,OFF}",32.08
Client 1,7,169.96,0.0,0.0,16.1,,5,236,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,7,122.99,0.0,0.0,39.12,,5,210,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,7,155.34,0.0,0.0,67.25,,5,198,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,7,122.18,0.0,0.0,86.19,,3,170,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,7,185.5,0.0,0.0,28.39,226.75,3,238,17,CNN 16k,IID,FashionMNIST,0.2,0.9249,0.8982,0.2394,0.56,0.8276,0.8146,0.5437,"{OFF,OFF,OFF,OFF,OFF,OFF}",39.12
Client 1,8,166.06,0.0,0.0,28.69,,5,222,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,8,155.72,0.0,0.0,32.54,,5,214,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,8,148.55,0.0,0.0,60.33,,5,212,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,8,146.41,0.0,0.0,52.89,,3,199,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,8,179.38,0.0,0.0,32.38,214.19,3,229,17,CNN 16k,IID,FashionMNIST,0.19,0.931,0.9184,0.2042,0.54,0.8586,0.846,0.4574,"{ON,OFF,OFF,OFF,OFF,OFF}",28.11
Client 1,9,180.89,0.0,0.0,33.22,,5,223,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,9,168.34,0.0,0.0,35.91,,5,211,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,9,174.62,0.0,0.0,81.8,,5,191,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,9,167.18,0.0,0.0,46.39,,3,203,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,9,193.97,0.0,0.0,32.6,261.43,3,226,17,CNN 16k,IID,FashionMNIST,0.16,0.9402,0.9181,0.1698,0.69,0.847,0.8278,0.4854,"{OFF,OFF,OFF,OFF,OFF,OFF}",43.43
Client 1,10,188.99,0.0,0.0,42.79,,5,217,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 2,10,198.49,0.0,0.0,34.66,,5,219,18,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 3,10,180.56,0.0,0.0,76.9,,5,204,17,CNN 16k,IID,FashionMNIST,,,,,,,,,,0.0
Client 4,10,194.06,0.0,0.0,75.65,,3,192,17,CNN 16k,non-IID,FashionMNIST,,,,,,,,,,0.0
Client 5,10,214.62,0.0,0.0,30.17,284.7,3,225,17,CNN 16k,IID,FashionMNIST,0.13,0.9525,0.9098,0.1472,0.73,0.8255,0.8021,0.5375,"{ON,OFF,OFF,OFF,OFF,OFF}",43.43
