Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,SSIM Overhead (indice),"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)",Agent Time (s)
Client 1,1,4.59,0.06,0.0,1.7,,5,431,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,1,0.42,0.31,0.0,0.41,,5,163,21,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,1,0.53,0.21,0.0,22.76,,5,17,22,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,1,0.74,0.09,0.0,35.77,,3,13,22,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,1,6.69,0.17,0.0,4.7,37.61,3,290,21,MLP,IID,AG_NEWS,0.36,0.8798,0.8121,0.1872,1.16,0.6768,0.617,0.5691,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,2,5.78,0.06,0.0,1.6,,5,350,26,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,2,1.07,0.25,0.0,1.02,,5,187,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,2,2.04,0.21,0.0,37.84,,5,25,25,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,2,2.29,0.04,0.0,27.68,,3,37,25,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,2,6.23,0.17,0.0,3.11,41.17,3,280,25,MLP,IID,AG_NEWS,0.2,0.9412,0.9059,0.0893,1.03,0.7483,0.6992,0.4536,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,3,5.29,0.06,0.0,1.63,,5,351,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,3,2.76,0.12,0.0,1.37,,5,227,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,3,1.7,0.16,0.0,39.06,,5,17,29,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,3,2.03,0.03,0.0,22.36,,3,34,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,3,7.94,0.17,0.0,4.1,41.9,3,280,30,MLP,IID,AG_NEWS,0.17,0.9477,0.9363,0.0783,0.9,0.7814,0.7402,0.3816,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,4,6.1,0.06,0.0,1.52,,5,349,28,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,4,1.99,0.18,0.0,0.98,,5,213,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,4,2.31,0.16,0.0,25.52,,5,32,29,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,4,3.73,0.01,0.0,32.98,,3,34,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,4,7.78,0.17,0.0,3.9,37.79,3,277,26,MLP,IID,AG_NEWS,0.15,0.9555,0.9444,0.0681,0.81,0.7945,0.7547,0.3498,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,5,6.65,0.06,0.0,1.65,,5,254,30,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,5,4.63,0.18,0.0,2.9,,5,229,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,5,4.04,0.2,0.0,46.02,,5,28,31,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,5,4.36,0.01,0.0,33.77,,3,44,29,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,5,10.27,0.17,0.0,4.08,51.37,3,261,30,MLP,IID,AG_NEWS,0.13,0.96,0.9144,0.0605,0.8,0.798,0.7612,0.3653,,"{OFF,OFF,OFF,OFF,OFF,OFF}",0.0
Client 1,6,7.26,0.06,0.0,2.27,,5,250,32,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 2,6,6.25,0.17,0.0,2.71,,5,230,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 3,6,6.44,0.22,0.0,37.87,,5,55,29,MLP,IID,AG_NEWS,,,,,,,,,,,0.0
Client 4,6,4.86,0.02,0.0,23.79,,3,54,31,MLP,non-IID,AG_NEWS,,,,,,,,,,,0.0
Client 5,6,6.0,0.17,0.0,2.33,45.4,3,225,29,MLP,IID,AG_NEWS,0.12,0.9618,0.9507,0.0564,0.79,0.8023,0.7676,0.3489,,"{OFF,OFF,OFF,OFF,OFF,OFF}",
