Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,"AP List (client_selector,client_cluster,message_compressor,model_co-versioning_registry,multi-task_model_trainer,heterogeneous_data_handler)"
Client 3,5,32.24,0.0,0.0,18.49,,5,301,27,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 5,5,74.27,0.0,0.0,31.92,110.96,3,283,26,CNN 16k,IID,CIFAR-10,0.9,0.6803,0.594,1.1058,1.61,0.5173,0.4945,1.6976,"{ON,OFF,OFF,OFF,OFF,OFF}"
Client 1,6,78.42,0.0,0.0,15.46,,5,296,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,6,48.58,0.0,0.0,18.12,,5,230,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,6,41.69,0.0,0.0,48.28,,5,214,28,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,6,53.18,0.0,0.0,66.2,,1,67,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,6,96.54,0.0,0.0,33.69,136.45,3,272,27,CNN 16k,IID,CIFAR-10,0.95,0.6637,0.6107,1.1427,1.57,0.5298,0.5089,1.7922,"{OFF,OFF,OFF,OFF,OFF,ON}"
Client 1,7,71.1,0.0,0.0,15.39,,5,313,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,7,43.34,0.0,0.0,16.04,,5,248,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,7,43.3,0.0,0.0,40.7,,5,227,27,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 5,7,83.19,0.0,0.0,27.68,115.26,3,282,26,CNN 16k,IID,CIFAR-10,0.91,0.6752,0.6162,1.0734,1.55,0.5323,0.507,1.72,"{ON,OFF,OFF,OFF,OFF,ON}"
Client 1,8,73.7,0.0,0.0,15.49,,5,305,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,8,44.47,0.0,0.0,19.32,,5,243,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,8,48.61,0.0,0.0,23.48,,5,291,28,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 5,8,87.81,0.0,0.0,29.98,122.67,3,278,31,CNN 16k,IID,CIFAR-10,0.79,0.7255,0.631,0.9603,1.59,0.5327,0.5099,1.7185,"{ON,OFF,ON,OFF,OFF,ON}"
Client 1,9,80.39,0.0,0.0,15.41,,5,305,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,9,52.35,0.0,0.0,18.36,,5,250,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,9,51.74,0.0,0.0,52.71,,5,216,27,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 5,9,94.62,0.0,0.0,31.62,130.54,3,281,26,CNN 16k,IID,CIFAR-10,0.91,0.6711,0.6416,1.178,1.61,0.5529,0.5381,1.6406,"{ON,OFF,OFF,OFF,OFF,ON}"
Client 1,10,109.9,0.0,0.0,16.2,,5,278,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,10,74.67,0.0,0.0,27.85,,5,234,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,10,71.04,0.0,0.0,50.87,,5,233,28,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,10,76.8,0.0,0.0,46.78,,1,89,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,10,121.95,0.0,0.0,32.21,158.36,3,264,27,CNN 16k,IID,CIFAR-10,0.77,0.7313,0.6565,0.9715,1.51,0.5522,0.5303,1.6619,"{OFF,OFF,OFF,OFF,OFF,OFF}"
Client 1,11,120.32,0.0,0.0,15.43,,5,272,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 2,11,83.72,0.0,0.0,30.67,,5,236,30,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 3,11,84.3,0.0,0.0,41.37,,5,246,30,CNN 16k,IID,CIFAR-10,,,,,,,,,
Client 4,11,101.47,0.0,0.0,54.1,,1,90,35,CNN 16k,non-IID,CIFAR-10,,,,,,,,,
Client 5,11,131.93,0.0,0.0,30.59,172.73,3,262,26,CNN 16k,IID,CIFAR-10,0.77,0.7267,0.6457,1.024,1.55,0.5365,0.5174,1.7252,"{OFF,OFF,OFF,OFF,OFF,ON}"
